#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4100       0.1650       0.8164       0.6600       0.6534
       3       1.5609       0.1546       0.8964       0.6681       0.7862
       4       1.6204       0.1758       0.9619       0.6676       0.9243
       5       1.6613       0.1854       0.9833       0.6840       0.7620
       6       1.6507       0.1832       0.9212       0.7400       0.8692
       7       1.6360       0.2952       1.1529       0.6790       0.8362
       8       1.6810       0.2721       1.1954       0.8202       0.9693
       9       1.6445       0.2901       1.2173       0.5720       0.8786
      10       1.6786       0.2944       1.3741       0.9176       0.9787
      11       1.6327       0.2967       1.1652       0.6564       0.8829
      12       1.5068       0.4811       1.4966       0.8564       1.2799
      13       1.4595       0.4814       1.8199       1.2291       1.3411
      14       1.5583       0.5567       1.7742       1.3402       1.5590
      15       1.5896       0.5569       2.0124       0.9931       1.4724
      16       1.7423       0.5865       1.4505       0.8255       1.5376
      17       2.0542       0.6191       1.6942       0.6605       1.6909
      18       1.6333       0.6028       1.1936       0.6374       1.7190
      19       2.3178       0.7162       1.3750       0.7891       1.7913
      20       2.1085       0.8524       1.2263       0.7725       2.0482
      21       2.1599       0.8861       1.2661       0.8867       2.1467
      22       2.1454       0.7871       1.5157       1.0417       1.9320
      23       2.3450       0.7434       1.8730       0.7212       2.1580
      24       2.5433       0.7723       1.9663       0.6803       2.2493
      25       2.6134       0.7461       2.0228       0.8034       1.7441
      26       2.6234       0.7227       2.2585       0.7130       1.7718
      27       2.9092       0.8382       2.4929       0.7579       1.9145
      28       2.5182       0.7884       1.9097       1.5213       2.1867
      29       1.4923       0.7780       1.5685       1.7428       2.6568
      30       2.8894       0.8775       2.1713       1.6808       2.1901
      31       1.6867       0.8217       1.0182       1.4557       2.0640
      32       1.4205       0.7207       1.9359       0.9678       1.9388
      33       1.6660       0.7976       1.2917       1.0154       2.0797
      34       1.4905       1.0123       1.2956       0.8600       1.6678
      35       1.6966       0.8129       0.9972       1.4881       1.2831
      36       1.4612       0.7408       1.4576       1.0632       1.8236
      37       1.4259       0.8026       1.1604       0.8791       1.7620
      38       2.6442       0.8113       1.8450       1.4676       2.2736
      39       1.6049       0.8400       1.1379       1.2216       1.9746
      40       2.4372       0.8754       2.1147       1.2422       1.9054
      41       2.1394       0.8319       1.7211       1.2575       2.3582
      42       1.1191       0.8468       1.0786       1.3572       1.6913
      43       1.9795       0.8287       1.8266       1.2547       2.0262
      44       1.3783       0.9792       1.1549       1.3059       1.7830
      45       2.4185       0.8918       1.7929       1.7915       2.0998
      46       3.7299       0.8143       1.9697       1.4023       2.4670
      47       2.7179       0.8598       1.3395       0.7011       2.0084
      48       1.7461       0.7763       1.8328       0.9724       2.1437
      49       1.3207       0.7490       1.1780       0.7165       1.7890
      50       1.6287       0.8133       0.9427       1.1615       1.4386
      51       1.6038       0.8893       0.6964       1.1754       1.5108
      52       2.8566       0.8074       0.7949       0.8655       1.4833
      53       4.9386       0.8247       1.8197       1.4277       1.5084
      54       4.5787       0.8167       1.6083       0.8068       1.6891
      55       2.5227       0.8316       0.7485       1.1075       1.8625
      56       2.2387       0.7116       1.2743       1.3407       2.1080
      57       3.1558       0.7973       1.2312       1.0032       1.8032
      58       2.1828       0.6927       1.3339       0.7762       1.9694
      59       2.6513       0.7689       1.4783       1.1392       1.9498
      60       2.4048       0.8334       1.1231       1.4429       2.0378
      61       2.3626       0.8811       1.2756       1.3544       2.1135
      62       2.0951       0.9292       0.8398       1.4822       2.0935
      63       1.6464       0.9385       1.3314       1.3062       2.2730
      64       1.4892       0.9685       1.1832       1.6401       1.7838
      65       2.3225       1.0599       0.9237       0.9477       1.7758
      66       2.0427       0.9684       1.3586       1.2206       1.8426
      67       1.8497       1.0871       1.2688       1.6952       1.7873
      68       3.0606       1.1901       1.2284       1.1326       1.5391
      69       2.1750       0.9179       1.4698       1.2614       1.9666
      70       3.3473       0.7872       2.1081       1.4616       2.9605
      71       3.7727       0.7269       1.6150       1.0084       2.4029
      72       3.7674       0.8744       1.4297       0.9685       1.9292
