#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4499       0.2415       0.8644       0.5797       0.7932
       3       1.5621       0.2453       0.8677       0.6369       0.7969
       4       1.5866       0.2376       0.8964       0.6456       0.8973
       5       1.6200       0.2247       0.8503       0.6518       0.8140
       6       1.6253       0.2242       0.9049       0.5826       0.8159
       7       1.6375       0.3297       1.0012       0.5526       0.8693
       8       1.6625       0.3286       0.9678       0.5843       0.8989
       9       1.6983       0.3267       1.0382       0.6016       0.9256
      10       1.6815       0.3093       1.2676       0.5932       0.8619
      11       1.6430       0.3137       0.9797       0.6672       0.8635
      12       1.5375       0.6035       0.6766       1.1690       1.3584
      13       1.5814       0.5939       1.0181       1.0123       0.9711
      14       1.4395       0.6433       1.0800       0.8960       1.0051
      15       1.6082       0.6179       1.2864       0.9252       1.1308
      16       1.3410       0.7062       1.1339       0.8857       1.1126
      17       1.1819       0.7837       0.4861       1.0196       0.9984
      18       1.0275       0.5909       0.6644       1.0219       0.9372
      19       1.6445       0.5678       0.7857       0.7646       1.4567
      20       1.4171       0.6182       0.4961       0.7267       1.0322
      21       2.0313       0.7657       0.9414       1.1879       1.2549
      22       1.3136       0.6792       0.4318       0.9940       0.9681
      23       1.3264       0.6655       0.9522       1.0394       1.1154
      24       2.1495       0.7280       0.9588       0.9082       1.3172
      25       2.9763       0.7482       0.6226       0.9950       1.1566
      26       2.2285       0.7465       0.9238       1.0415       1.2755
      27       2.8394       0.7247       0.9055       0.9063       1.7099
      28       2.1834       0.7774       0.9522       0.7696       1.1470
      29       2.5353       0.7559       0.9650       1.3688       1.0838
      30       2.3287       0.8180       0.9953       1.3068       1.4175
      31       2.5396       0.8800       0.9396       1.0973       1.2042
      32       2.2988       0.7487       0.6184       0.8695       0.9763
      33       2.8224       0.6815       1.4882       1.2540       1.9340
      34       2.3400       0.6930       1.4795       1.6179       1.4924
      35       2.9848       0.7597       0.8511       0.9645       1.3515
      36       3.2608       0.6324       0.8753       1.5662       1.7294
      37       2.1922       0.7373       0.7963       1.4320       1.2308
      38       2.3104       0.7533       1.3126       1.2489       1.6151
      39       2.7364       0.8791       0.7593       1.7402       1.3272
      40       2.2556       0.7054       0.8470       1.2820       1.3752
      41       1.7858       0.6831       1.2332       1.6128       1.3817
      42       2.5324       0.7636       1.3117       1.5943       1.3136
      43       2.5019       0.7079       1.0537       1.8067       1.2192
      44       3.0979       0.7282       1.6639       1.9460       1.4648
      45       2.4891       0.6556       1.5150       1.8344       1.1845
      46       3.4892       0.9085       1.3488       1.5770       1.4782
      47       2.3949       0.8103       1.1287       1.3973       0.9324
      48       1.9833       0.6198       0.7852       1.6465       1.2942
      49       3.6727       0.7052       1.8831       1.8520       1.4513
      50       1.6539       0.7032       0.8749       1.4480       1.5472
      51       2.5860       0.6730       1.3358       1.0733       0.9833
      52       1.6030       0.6486       0.9349       2.0509       1.2588
      53       2.0674       0.7199       1.0315       1.9738       1.0656
      54       1.5835       0.8194       1.4292       1.6498       1.5317
      55       1.3216       0.6235       1.1596       1.4261       1.4610
      56       1.5841       0.7518       1.3807       1.6044       1.1277
      57       2.2060       0.8715       1.4001       1.2493       1.2548
      58       1.7363       0.6591       1.3845       1.4209       1.2918
      59       2.5568       0.7971       1.6584       1.5697       1.3327
      60       3.1090       0.7472       1.2434       1.6464       1.2280
      61       2.0275       0.6678       0.9364       2.1802       1.0943
      62       1.6672       0.6963       1.0189       1.4557       1.1774
      63       1.7378       0.7640       1.2128       1.1348       1.0124
      64       2.6237       0.7604       1.2703       1.5516       1.2606
      65       2.1161       0.7698       1.4461       1.4722       1.3304
      66       1.8547       0.6659       1.0399       1.6317       1.4696
      67       1.7498       0.6407       1.1330       1.6227       1.4748
      68       1.9427       0.6619       1.1227       1.2870       1.0695
      69       1.8521       0.6463       1.1535       1.7384       1.3718
      70       2.1063       0.7355       0.5621       1.5811       1.3711
      71       1.8501       0.6565       0.8843       1.9562       1.2352
      72       1.9432       0.7180       0.9042       1.6639       1.1655
      73       2.0069       0.6435       1.1367       2.0419       1.3116
      74       1.9013       0.7503       0.9691       1.8427       0.8921
      75       1.8738       0.6748       0.9459       1.8079       1.2346
      76       1.5317       0.8260       0.9414       1.9918       1.3896
      77       1.4395       0.7811       0.5912       1.5665       1.3629
      78       1.8435       0.7943       1.0775       1.4134       1.2229
