#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.3690       0.1804       0.7078       0.6261       0.7228
       3       1.5108       0.1821       0.8458       0.6745       0.7811
       4       1.5411       0.1876       0.8864       0.7566       0.8314
       5       1.5480       0.1872       0.8758       0.7286       0.7722
       6       1.5360       0.1771       0.9562       0.7413       0.7585
       7       1.5446       0.2807       1.1600       0.6582       0.7319
       8       1.5550       0.3033       1.2800       0.6398       0.6322
       9       1.6125       0.2837       1.1784       0.7758       0.8364
      10       1.5686       0.2850       1.0963       0.6408       0.7089
      11       1.5444       0.2899       1.1090       0.7113       0.7089
      12       1.6821       0.4696       1.4893       0.6719       0.9281
      13       1.6985       0.4860       1.5577       0.6898       0.8527
      14       1.8615       0.4876       1.6254       0.6727       0.9245
      15       1.6477       0.5392       1.0280       0.8358       0.7348
      16       1.7345       0.5875       1.6351       0.5557       0.9040
      17       1.6734       0.7829       1.1928       1.3462       1.3210
      18       2.0990       0.6592       1.0898       1.1107       1.0881
      19       1.9326       0.7439       1.6909       1.1386       1.6387
      20       2.7442       0.8321       2.3700       0.9586       1.4977
      21       2.1541       0.8845       1.3853       1.0441       1.5157
      22       1.8357       0.7747       0.7344       0.7169       0.7801
      23       1.6029       0.7376       1.2207       0.9518       1.3100
      24       2.3639       0.8344       1.4574       0.9946       1.3404
      25       1.7604       0.8467       0.9848       0.5771       1.4576
      26       2.5048       0.7776       1.7150       0.7889       1.6194
      27       2.1712       0.7239       0.5086       1.5405       1.8173
      28       2.2450       0.8053       1.0919       1.3361       1.8620
      29       3.0765       0.8496       1.1285       1.2482       1.0358
      30       3.1800       0.6051       1.0508       1.4667       1.5465
      31       2.3741       0.7396       1.1579       1.1802       1.3729
      32       2.0574       0.7362       0.7418       1.0907       1.4456
      33       4.4600       0.8371       1.5601       1.4535       1.6725
      34       4.3683       0.7864       1.0069       1.6264       2.5715
      35       2.1561       0.8121       0.6454       1.5395       1.9847
      36       3.1292       0.8163       0.9310       1.1736       1.4856
      37       2.7166       1.0339       1.1882       1.7489       1.7871
      38       2.5738       0.9506       0.9676       1.7958       2.2433
      39       2.5525       0.8627       0.8181       1.5912       1.3497
      40       2.0776       0.8695       0.6934       1.3283       1.5972
      41       1.9188       0.8251       0.8713       1.3101       1.3251
      42       1.9610       0.8757       1.2564       1.5634       1.9758
      43       2.4237       0.8403       1.5246       0.9183       1.6314
      44       2.0017       0.8301       1.5401       1.3154       1.6836
      45       2.4721       0.8530       1.0740       0.9341       1.1872
      46       2.6318       0.7484       0.7380       0.8869       1.1653
      47       2.5142       0.9101       0.7062       1.3528       1.2925
      48       2.4268       0.8519       1.1433       0.9141       1.9523
      49       1.8777       0.7407       0.7292       1.0031       1.4569
      50       2.7543       0.8028       1.6617       0.6246       1.7292
      51       2.5300       0.9561       1.3150       0.8530       1.4510
      52       3.0776       0.9589       1.6104       1.0208       1.4701
      53       3.4208       0.9778       1.9667       0.9263       1.5073
      54       2.9492       1.0195       1.6698       1.2797       1.6908
      55       2.6823       0.8369       0.8773       0.7268       1.4801
      56       2.2870       0.8395       0.9703       1.0098       1.3047
      57       2.2369       0.9136       0.3743       0.9574       1.2197
      58       1.6967       0.7031       0.9028       0.6360       1.4007
      59       3.4317       1.0520       2.3468       1.1014       1.5973
      60       3.3415       0.9120       2.1223       1.2067       1.4794
      61       3.7387       0.7641       2.3897       0.5247       1.6000
      62       3.2871       0.7041       1.9408       0.6288       1.5092
      63       3.8595       0.9773       1.9397       0.8659       2.0533
      64       3.7427       0.8706       2.0360       0.8317       1.9438
      65       3.6352       0.8559       1.8559       1.0580       1.7072
      66       4.2449       0.8942       2.3008       0.8547       1.8189
      67       4.1917       1.0181       2.5073       1.4289       2.0918
      68       5.1457       0.9817       2.5034       1.2104       2.0833
      69       5.2310       1.2069       2.5641       1.1456       2.7143
      70       4.2259       0.9686       2.1017       1.1563       2.6409
      71       3.9763       0.9912       1.8746       0.8878       2.5679
      72       5.3742       1.0974       2.4832       1.2643       2.7731
      73       4.6617       0.9851       1.5983       1.4185       2.3616
      74       4.0650       0.9088       1.0153       1.1452       1.9778
      75       4.4709       1.0237       0.9712       0.8757       2.1107
      76       4.1891       0.8124       1.4552       1.3172       1.9751
      77       3.7457       0.8688       1.4928       1.2348       2.0301
      78       4.2515       0.9706       1.5054       1.2776       1.7431
      79       2.4537       0.9468       1.8940       1.1235       1.7692
      80       3.2878       0.9071       1.8786       1.0659       2.2817
      81       2.6344       0.9755       1.6356       1.1837       2.0937
      82       3.2269       0.8421       1.5138       0.9142       1.7950
      83       3.8663       0.8624       1.3628       1.2704       1.4947
      84       2.9369       0.9072       1.5625       0.8134       2.3989
      85       3.7868       0.8752       2.1560       0.9900       3.3356
      86       3.4137       0.8390       1.5052       0.8378       1.7649
      87       3.1617       0.9368       2.1222       0.9418       1.6454
      88       2.4791       0.8227       1.4533       1.0571       1.4787
      89       3.2080       0.7083       1.0017       0.7208       1.9007
      90       3.5744       0.8802       0.9382       0.9045       2.3178
      91       4.3022       1.0341       2.0050       1.2602       2.7050
      92       4.0775       1.0469       2.0309       1.4385       2.5912
      93       2.9573       1.0349       1.7749       1.1533       2.0603
      94       4.0125       0.8954       1.2388       1.2695       2.4792
      95       2.9449       0.8255       1.0333       1.0612       1.7506
      96       4.3364       1.1399       2.2055       1.4648       2.8313
      97       4.5789       0.9743       1.5055       1.2788       2.2026
      98       5.0359       0.8769       2.0866       1.5109       2.7295
      99       3.8399       0.9416       1.4311       0.8846       1.8712
     100       3.2363       0.9669       2.2358       1.3216       2.0570
     101       2.9761       0.8592       1.6823       1.3886       2.0090
     102       3.3364       0.7229       1.8968       1.2459       2.0505
     103       4.3969       0.8338       2.1977       1.0900       2.1972
     104       4.5231       0.8534       1.7631       1.1329       1.9614
     105       4.8444       0.9700       2.5648       1.3310       2.5230
