#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.3154       0.1786       0.8087       0.6204       0.7755
       3       1.3641       0.1668       0.8019       0.6847       0.7561
       4       1.3895       0.1752       0.7638       0.5835       0.8119
       5       1.4522       0.1884       0.8400       0.5930       0.8167
       6       1.4238       0.1789       0.7997       0.6595       0.7559
       7       1.4344       0.3251       0.9987       0.5848       0.7821
       8       1.4487       0.2931       1.0774       0.4647       0.8693
       9       1.4445       0.2933       0.9290       0.3986       0.8367
      10       1.4698       0.2948       0.8945       0.6050       0.7469
      11       1.3847       0.3129       0.8695       0.5536       0.8402
      12       1.2159       0.5196       0.9214       0.6635       0.7459
      13       1.4975       0.5633       1.2926       0.5037       0.9164
      14       1.2733       0.5755       0.9592       0.5229       0.9755
      15       1.2104       0.5906       0.8461       0.4271       0.8172
      16       1.1278       0.5487       1.0890       0.6218       0.8883
      17       1.8709       0.5562       0.6778       0.7323       0.9551
      18       1.6959       0.6573       0.7149       0.9713       1.1864
      19       1.5302       0.6328       0.4863       0.9379       1.2267
      20       1.3231       0.6468       0.9101       1.0514       1.5844
      21       1.4319       0.6689       0.8711       0.6559       1.5574
      22       1.3935       0.6622       0.6300       1.4195       1.4745
      23       2.4078       0.8166       1.2757       1.2820       1.4034
      24       1.9026       0.7610       0.9166       1.2293       1.5884
      25       1.5397       0.7503       1.2976       1.1229       1.7731
      26       1.3133       0.6728       0.9163       1.3639       1.3408
      27       1.8637       0.6101       0.4567       1.4798       1.4783
      28       1.2569       0.7193       0.5816       1.1410       1.2399
      29       1.3278       0.7658       0.6290       1.1980       1.2387
      30       1.3014       0.8991       0.8810       1.2566       1.2161
      31       1.3274       0.7680       0.6225       1.1766       1.6084
      32       1.4096       0.8242       0.7352       1.3399       1.3397
      33       1.3254       0.8217       0.4602       0.9289       1.4010
      34       1.5781       0.7059       0.6769       1.2673       1.6912
      35       1.8926       0.6798       1.2248       1.1102       1.6247
      36       2.3974       0.7751       1.5350       1.8095       1.7706
      37       2.0567       0.6781       1.2221       1.3710       1.6883
      38       2.1987       0.7523       1.5951       1.3493       1.9845
      39       2.1903       0.7280       0.8955       1.2969       1.9593
      40       1.5283       0.8869       1.1416       0.9969       1.3959
      41       2.6351       0.7554       1.3553       1.2569       1.5278
      42       1.9983       0.7151       1.0957       1.2710       1.2598
      43       2.6431       0.6611       1.1383       1.5497       1.2660
      44       2.6405       0.9337       1.6831       0.9033       1.4992
      45       2.1678       0.8956       1.1509       1.2146       1.3911
      46       1.9704       0.6401       1.1114       1.5338       1.5427
      47       2.0464       0.7841       1.3408       1.5433       1.7183
      48       3.1145       0.8222       1.6329       1.5371       1.6982
      49       2.4162       0.7906       1.5626       1.5291       1.3939
      50       1.8145       0.8655       1.6203       2.0460       1.9094
      51       1.5789       0.7781       0.7053       1.9987       1.3668
      52       2.0764       0.7836       1.2795       1.4592       1.2087
      53       1.5597       0.8758       0.7768       1.5350       1.3095
      54       2.1636       0.7490       1.0074       1.4295       1.3184
      55       1.8833       0.8091       1.1746       1.3328       1.3079
      56       1.8032       0.7869       0.9348       1.3027       1.3484
      57       1.3419       0.7408       0.7794       1.5709       1.5619
      58       1.2957       0.7880       0.9243       1.8403       1.4784
      59       3.0307       0.8523       1.7809       1.5593       1.5949
      60       2.2949       0.7327       1.7867       1.9587       1.7884
      61       2.4807       0.7527       1.8630       1.5069       1.6590
      62       2.5493       0.8061       1.8037       1.3592       1.3090
      63       3.0543       0.9563       1.6221       1.4818       1.4484
      64       2.7257       0.9898       1.2250       1.0890       1.6269
      65       2.3268       0.8907       0.6728       0.8993       1.5483
      66       2.7596       0.7848       1.0911       1.0357       1.4848
      67       2.2700       0.7818       0.8096       1.1975       1.4586
      68       2.4091       0.7554       1.3037       0.9203       1.0304
      69       2.3446       0.8381       1.4437       1.1117       1.2551
      70       1.7012       0.8752       0.6024       0.8887       1.4956
      71       1.7868       0.7010       0.6814       1.1030       1.4983
      72       2.2133       0.8124       0.9649       0.8618       1.4363
      73       1.8990       0.8932       0.9358       1.0156       2.0014
      74       2.3100       0.8541       0.9977       0.9562       2.0629
      75       1.8833       0.9671       1.3399       1.3303       2.0785
      76       1.7698       0.9041       1.3163       0.9353       2.2644
      77       1.6985       0.9439       0.7885       1.3421       1.2497
      78       2.3911       1.0292       1.0666       2.4448       3.3320
      79       2.3449       1.0088       1.3796       2.3485       3.5582
      80       2.0997       0.8611       1.5482       2.5859       3.4830
      81       2.2541       0.8559       1.3540       2.5413       3.3962
      82       2.2590       0.8949       1.0452       2.2471       2.8156
      83       1.9720       0.7232       0.7350       2.2427       2.8701
      84       2.5099       0.9279       1.5264       2.4462       3.3944
      85       2.6721       0.9574       0.8308       2.1973       2.7364
      86       2.2966       0.9240       0.8166       2.2442       2.5739
      87       2.3707       0.8023       1.2296       2.0975       3.0855
      88       3.2918       0.8671       1.8193       2.2764       3.1626
      89       2.8798       0.8669       0.8615       2.1752       2.5633
      90       3.2737       1.0403       1.0993       2.2616       3.4742
      91       3.0942       0.9935       0.9724       2.1976       3.2089
      92       3.0761       0.9388       2.0344       2.1345       4.3286
      93       3.9947       0.9446       1.7133       2.5810       3.3168
      94       2.4001       0.8303       1.3355       2.1957       3.5350
      95       2.3434       0.8562       1.8005       1.8481       3.3399
      96       2.5620       0.8612       1.4350       1.7787       2.7789
      97       2.6722       0.9692       1.2685       2.5463       2.7837
      98       3.0462       0.8082       1.6806       1.8275       2.7752
      99       2.6344       0.8497       1.4634       2.0936       3.8320
     100       3.4579       0.8957       2.0078       1.9370       3.8322
     101       2.7750       0.8055       1.5785       2.1805       3.3670
     102       2.6043       0.8148       1.1831       2.3041       2.8033
     103       2.2459       0.7631       1.1381       2.3698       2.7028
     104       2.2019       0.8914       1.0037       1.9671       2.5882
     105       2.5173       0.8363       1.4131       1.4596       2.0974
     106       2.4855       1.1100       1.2981       1.1876       2.2449
     107       3.0906       0.8231       1.6231       1.5891       2.8416
     108       3.0904       0.6831       1.7440       1.6360       2.2735
     109       3.7388       0.7860       2.3266       2.4840       2.7058
     110       4.3126       0.8765       1.9301       2.1770       2.6821
     111       3.9320       0.9007       1.8738       1.6585       2.2946
     112       4.1773       0.9571       2.6434       3.4554       3.5865
     113       3.6154       0.8010       2.3577       2.8728       2.8112
     114       3.3221       0.9581       1.9558       3.5910       2.9148
     115       3.3322       0.7524       1.4855       3.1903       2.5268
