#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.1927       0.1807       0.6867       0.6151       0.7076
       3       1.3303       0.1769       0.8417       0.6449       0.7377
       4       1.3544       0.1709       0.8019       0.5471       0.7936
       5       1.3953       0.1754       0.7788       0.6649       0.6419
       6       1.4145       0.1713       0.8076       0.7172       0.8120
       7       1.3991       0.3255       1.1279       0.7391       0.8687
       8       1.3891       0.2916       0.9910       0.7829       0.8815
       9       1.4383       0.2808       0.8205       0.6806       0.7966
      10       1.4584       0.2974       0.9947       0.6419       0.8822
      11       1.4349       0.3064       0.8992       0.6432       0.8675
      12       1.5137       0.6203       1.3576       0.6687       1.0722
      13       1.5877       0.5957       1.0234       0.4378       1.1431
      14       1.6311       0.7856       0.9524       0.6767       0.9426
      15       1.6019       0.6936       1.0703       0.6403       1.0233
      16       1.6036       0.7012       1.3006       0.6733       0.9518
      17       1.7509       0.8355       0.5443       0.4453       1.0673
      18       2.0104       0.7005       1.3546       1.5443       1.5494
      19       2.0581       0.7246       1.2458       1.1785       1.5756
      20       1.7042       0.6161       1.1354       1.5451       1.7875
      21       1.6473       0.7340       1.0848       1.4954       1.3628
      22       2.1453       0.6402       0.8625       1.3675       1.1470
      23       2.1627       0.6618       0.9625       1.0978       1.4667
      24       2.3148       0.6479       1.2494       1.9330       1.7492
      25       2.2742       0.7338       0.8256       1.3713       1.3135
      26       2.3401       0.7763       1.8582       1.4487       1.8253
      27       1.5531       0.7243       1.4458       1.7210       2.0932
      28       1.7147       0.7259       1.4621       1.1107       2.2227
      29       2.0344       0.8513       1.2695       1.0359       1.4350
      30       2.0816       0.7437       0.8365       1.6670       2.0111
      31       1.8814       0.8486       1.2323       1.8365       1.8221
      32       2.5094       0.7982       0.8717       1.9758       1.9803
      33       2.4420       0.8804       1.0497       0.9778       1.2399
      34       2.2004       0.7602       0.3444       1.3424       1.1349
      35       2.3592       0.7412       1.0282       1.6990       1.2822
      36       2.2635       0.8368       0.8371       1.2160       1.3463
      37       2.1469       0.8050       1.1838       1.2968       1.4011
      38       2.2666       0.8838       1.3139       1.4595       1.5814
      39       1.5789       0.7825       1.3884       1.6862       2.3037
      40       1.8410       0.8273       1.0074       1.6609       1.3001
      41       1.7129       0.8251       0.9148       1.1648       1.4455
      42       1.9811       0.6861       1.3175       1.8309       1.9667
      43       2.0980       0.8986       1.1349       1.4343       1.1639
      44       1.8300       0.7140       1.0505       1.9167       1.6059
      45       2.0451       0.7925       1.1352       1.2176       1.1794
      46       2.2652       0.8604       1.6596       2.1845       2.0707
      47       2.3020       0.7592       0.8057       2.1102       1.8958
      48       1.9299       0.7771       1.5473       1.7638       2.4395
      49       2.3226       0.7687       0.8628       1.7063       1.1564
      50       2.4152       0.7362       0.7483       2.0954       1.7795
      51       2.9017       0.6930       1.0536       2.1750       2.1199
