#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.3819       0.1837       0.8350       0.6819       0.6914
       3       1.4969       0.1775       0.7259       0.7053       0.7021
       4       1.5480       0.1749       0.8898       0.7455       0.7046
       5       1.5349       0.1842       0.8713       0.7117       0.7054
       6       1.5509       0.1850       0.8133       0.6965       0.7681
       7       1.5117       0.2787       1.1147       0.6558       0.7173
       8       1.5526       0.2774       1.0687       0.6339       0.7885
       9       1.5615       0.2931       1.1000       0.6159       0.7073
      10       1.5227       0.2879       0.9621       0.6350       0.7269
      11       1.5634       0.2587       0.9929       0.5941       0.7649
      12       1.5618       0.4902       1.3726       0.6734       0.7352
      13       1.5631       0.4947       1.0492       0.5881       1.1509
      14       1.7228       0.5349       1.8754       0.6293       0.9141
      15       1.6604       0.6165       1.0640       0.7265       0.8062
      16       1.7124       0.6246       1.1755       0.7111       0.6770
      17       2.0346       0.6758       1.3537       0.6403       1.0041
      18       2.3957       0.6865       1.1630       0.6526       0.6701
      19       2.6328       0.6528       0.7537       0.8861       0.8679
      20       1.8423       0.5919       1.2220       0.5664       0.8355
      21       1.8720       0.7153       0.6330       0.5201       1.3500
      22       2.2646       0.5756       0.5542       0.4924       1.2109
      23       1.6494       0.6136       1.1825       0.5938       0.8262
      24       1.8686       0.6420       0.8672       0.9967       0.8944
      25       3.5301       0.8487       1.3411       0.7439       0.8988
      26       1.7699       0.6615       0.9520       0.7499       1.0821
      27       1.7372       0.8538       0.3687       0.7161       0.9501
      28       2.0044       0.8334       1.3729       0.9744       1.7821
      29       1.3685       0.7965       0.6513       1.1337       1.3110
      30       1.6487       1.0249       1.0588       0.9937       1.4811
      31       1.5216       0.7110       0.9460       1.1098       1.6611
      32       2.1006       0.8190       1.5455       0.8170       1.4778
      33       3.3125       0.8017       1.1623       0.9633       2.0364
      34       2.6639       0.8125       1.6500       0.8768       1.7382
      35       2.5705       0.8034       1.8168       1.1226       1.4140
      36       2.4357       0.7576       1.6469       1.3374       1.7485
      37       3.4084       0.7417       1.8386       1.4066       1.8569
      38       3.3145       0.7216       1.3443       1.2648       1.7434
      39       2.6718       0.7252       1.6231       0.9125       1.7562
      40       2.0262       0.7205       1.5839       0.8085       1.7331
      41       3.7869       0.7098       1.6907       0.8600       1.8089
      42       3.1015       0.8411       1.7518       0.8232       1.2403
      43       3.5667       0.6771       2.4413       1.0942       1.4167
      44       4.3434       0.8026       2.7300       1.1814       1.6363
      45       5.2858       0.7283       2.3990       0.8482       2.2452
      46       3.1988       0.7763       1.7455       0.8187       1.6132
      47       3.3176       0.7594       1.5541       1.0855       1.5847
      48       2.3994       0.7514       1.5035       0.8404       1.3903
      49       3.4414       0.7815       1.7966       1.0456       1.4408
      50       4.1030       0.8392       2.2347       0.7328       1.6290
