#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4068       0.1875       0.8155       0.6350       0.7734
       3       1.5177       0.1771       0.9105       0.6939       0.7323
       4       1.5401       0.1861       0.8467       0.7515       0.7675
       5       1.5457       0.1665       0.8636       0.7096       0.7347
       6       1.5447       0.1751       0.8828       0.7373       0.7060
       7       1.6123       0.2575       1.0160       0.7396       0.7479
       8       1.5689       0.2736       1.1381       0.7612       0.7683
       9       1.5440       0.2759       1.1469       0.7837       0.7379
      10       1.5437       0.2889       1.0703       0.6531       0.6776
      11       1.5484       0.2752       1.1964       0.6805       0.7323
      12       1.4563       0.4928       1.3941       0.6883       0.6000
      13       1.4885       0.4768       1.0872       0.6862       0.6734
      14       1.4039       0.4948       1.8085       0.4198       0.7141
      15       1.2767       0.5752       1.4129       0.6598       0.7033
      16       1.3626       0.5680       1.2423       0.7585       0.8150
      17       1.5726       0.6450       0.9620       1.1687       1.1017
      18       1.8294       0.7483       1.2375       0.9952       1.1857
      19       2.3196       0.7135       0.9345       0.6626       0.7159
      20       2.2789       0.7083       1.2515       0.6953       0.8880
      21       1.6918       0.7368       1.1848       0.9240       1.3459
      22       1.4682       0.7621       0.7812       0.6324       0.8073
      23       1.6584       0.6993       1.3970       0.6630       1.3951
      24       1.6379       0.8181       0.8815       0.6418       1.4475
      25       1.8238       0.8444       1.1122       1.1062       1.2169
      26       1.9480       0.7375       1.2809       0.7368       0.6516
      27       2.3449       0.7521       0.7696       0.8098       1.0842
      28       1.8199       0.8221       1.0617       1.0464       1.1631
      29       1.3022       0.7336       0.7618       0.6469       1.1695
      30       1.5571       0.7981       0.6825       0.9614       1.1810
      31       2.0871       0.7161       0.8177       0.5998       1.1622
      32       2.0366       0.7414       0.9296       0.7006       1.2068
      33       1.8555       0.7349       0.5518       0.3896       1.3643
      34       2.2639       0.7295       0.8496       0.8433       1.1332
      35       2.2234       0.7966       0.6812       0.7454       1.6358
      36       1.9963       0.8282       1.1909       0.4814       1.0804
      37       2.1192       0.8099       1.5317       0.9152       1.4365
      38       2.2997       0.7515       1.0572       1.2817       1.4626
      39       2.3641       0.7457       1.1137       0.8747       1.6029
      40       2.3324       1.0214       1.2866       1.5421       2.2464
      41       3.5858       0.8555       1.5671       1.4621       2.5471
      42       2.6953       0.8137       1.1323       1.4069       1.9403
      43       2.5251       0.9691       1.8023       1.4005       2.1791
      44       1.8558       0.8936       1.4059       0.8862       1.3851
      45       2.7047       0.7161       0.5306       0.6476       1.0655
      46       2.8731       0.8779       1.4170       1.5600       2.0306
      47       2.7576       1.2157       1.3698       1.9144       1.8539
      48       1.7825       0.9734       1.8936       1.4058       1.8649
      49       2.2710       0.8448       1.7139       1.0183       2.3498
      50       2.6675       0.9519       1.2710       1.2038       2.4125
      51       2.2553       0.7120       1.2855       0.8518       1.4909
      52       2.4708       0.6729       1.7877       1.2058       1.6510
      53       2.8067       0.8293       1.5204       1.4249       1.8335
      54       2.3931       0.7630       0.9224       1.4331       1.4106
      55       1.7952       0.9501       1.5735       1.3635       2.0258
      56       1.9060       1.0240       1.8559       2.0147       2.3421
      57       2.4728       0.8352       1.4483       1.5892       1.9617
      58       2.3715       0.6855       1.8130       1.4681       1.9388
      59       2.3267       0.7290       1.1684       1.2178       1.6185
      60       1.9603       0.8473       0.9279       1.3271       1.7244
      61       2.5656       0.7556       1.8493       1.2323       2.2191
      62       1.9860       0.8389       1.5986       1.5516       2.4994
      63       1.9965       0.7522       1.2833       0.8838       2.2751
      64       2.6708       0.7409       0.6952       1.3031       2.1917
      65       2.7603       0.7025       1.1387       1.3139       1.8112
      66       3.2351       0.7748       1.8914       1.3976       2.3085
      67       2.9377       0.7649       1.6134       1.2206       2.1114
      68       2.9524       0.8323       1.4120       1.0835       1.5400
      69       2.8695       0.7486       1.7293       1.2226       2.1595
      70       1.7998       0.7705       0.5263       1.2395       1.8863
      71       2.0457       0.7923       0.9235       0.9907       2.2332
      72       1.9925       0.7668       1.2106       1.0090       2.0703
      73       1.8311       0.7763       1.1460       0.9285       1.8318
      74       2.6868       0.6918       1.1779       1.2117       1.7569
      75       3.2470       0.8204       1.1119       1.0333       1.9229
      76       2.3215       0.7064       0.8068       0.6826       1.5229
      77       2.5168       0.7513       1.1313       0.9820       2.3427
      78       4.0512       1.0383       1.8453       0.8943       1.9200
      79       3.2452       0.8408       0.5820       0.8880       1.8392
      80       3.9578       0.8665       1.2430       0.7377       1.9573
      81       2.3735       0.8128       0.7644       1.2049       2.1019
      82       2.8856       0.7089       1.3401       1.0788       2.1231
      83       3.1078       0.7927       1.5150       0.9824       1.9676
      84       2.6195       0.9090       1.2768       0.7673       1.8479
      85       3.8117       0.7779       0.9922       1.3662       2.3345
      86       2.2664       0.9566       1.3684       1.1686       2.0843
      87       3.2673       0.7379       0.5733       1.6087       2.2916
      88       3.5883       0.7917       0.7940       1.0790       1.8574
      89       4.9189       0.8536       1.2596       0.9802       1.8211
      90       2.9570       0.7606       0.8386       0.5505       1.9571
      91       3.4978       0.9018       0.8585       0.9553       2.0535
      92       3.6540       0.7574       0.8341       1.4400       1.5876
      93       3.9726       0.8353       0.9251       1.3132       2.1044
      94       4.6069       0.8631       1.3556       1.3511       2.2447
      95       3.9942       0.8329       1.2770       1.9090       2.7268
      96       2.6608       0.7672       0.7455       1.3861       2.0706
      97       3.6970       0.8241       0.8948       1.2126       1.7728
      98       3.4559       0.8843       0.6702       1.1492       1.8765
      99       2.5521       0.8961       0.5741       1.0754       1.9034
     100       4.1430       0.7826       0.8178       1.3159       2.5260
     101       3.8975       0.8205       1.1463       0.8773       1.7154
     102       4.7177       0.8312       1.2738       1.7116       2.5917
     103       4.1353       0.9758       1.0824       1.2321       1.5975
     104       5.2742       0.8732       1.4654       1.2859       2.3002
     105       4.8962       0.7864       1.7786       0.7272       2.2861
     106       4.0032       0.9851       1.3082       1.3229       2.1494
     107       2.5596       0.8233       0.7854       0.9831       1.8800
     108       4.0242       0.8498       1.7619       0.6596       1.7067
     109       3.6688       0.9289       0.7989       1.2407       1.8410
     110       3.3816       0.8707       0.9763       1.0763       2.1446
     111       4.2648       0.9107       0.8868       0.9991       2.0674
     112       5.0503       0.9136       1.4477       1.0780       1.9634
     113       4.7194       0.8290       1.6982       1.5871       2.4612
     114       4.6572       0.8132       1.1528       1.3895       1.6468
     115       4.2478       1.0434       1.7957       1.7370       2.1026
     116       2.8028       0.8227       0.8808       1.0657       1.2156
     117       2.3037       0.8824       0.6734       1.4074       1.3924
     118       1.5147       1.0176       0.9564       1.7780       2.3338
     119       3.3938       0.8813       0.7234       1.4858       1.9504
     120       2.8373       0.7849       0.7730       0.9363       1.7997
     121       1.5501       0.8201       1.1339       1.4315       1.5688
     122       2.8751       0.8250       1.2030       0.9229       1.8341
     123       1.7417       0.8655       0.8010       0.9225       1.3274
     124       2.6215       0.9272       1.2257       1.0891       1.9715
     125       2.0138       0.8199       0.4608       1.5639       2.2820
     126       3.1608       0.8716       0.9524       1.0847       1.5386
     127       2.0198       0.7960       0.7069       1.3261       2.0798
     128       1.7246       0.8496       0.7046       1.2215       2.0201
     129       2.3845       0.7765       0.6955       1.2075       2.0404
     130       2.3763       0.8608       0.8762       1.5544       2.7288
     131       2.7813       0.8450       0.6932       1.2535       2.1403
     132       2.3601       0.8559       0.9912       1.4801       2.0956
     133       2.0678       0.8385       0.9886       1.3914       2.7600
     134       2.2304       0.9578       1.2525       1.5856       2.2288
     135       2.6385       0.8480       1.0295       1.4794       2.4356
     136       3.4170       0.8247       1.9856       1.5120       2.5521
     137       2.6204       0.8564       1.6891       1.6492       2.3403
     138       2.3471       0.7437       0.8806       1.3816       1.5679
     139       3.4691       0.9449       1.1048       1.2393       1.7590
     140       2.3851       0.8398       0.9702       1.3779       2.0363
     141       2.9102       0.8359       1.4602       1.6269       2.5494
     142       2.7149       0.9030       0.9530       1.4555       2.1799
     143       3.9218       0.8813       1.2269       1.7707       2.6975
     144       3.1675       0.8111       1.5759       1.7273       2.8067
     145       3.4278       0.8459       1.7195       1.5401       2.6251
     146       2.3425       0.7797       1.4459       1.6682       2.9481
     147       3.8189       0.7941       1.9083       2.0344       2.8840
     148       3.2938       0.8447       1.4348       1.6104       2.0664
     149       2.4015       0.9097       1.0339       1.6544       2.0814
     150       2.3235       0.9764       0.6467       1.4247       2.5181
     151       1.7201       0.9115       0.7763       1.7052       2.5790
     152       1.6640       0.9686       0.7644       2.0317       2.5527
     153       1.9257       0.8254       0.5506       1.4086       1.5772
     154       2.6247       1.0268       0.7138       1.6751       2.9627
     155       2.3686       0.8533       1.4557       1.1430       2.3690
     156       2.7670       0.7891       1.4432       0.8686       1.8596
     157       3.0687       0.8000       1.1736       1.3254       1.9304
     158       1.8956       1.2127       1.0449       1.4076       2.4668
     159       1.7242       0.9941       0.7124       0.8314       1.7677
     160       2.6203       0.9633       0.8779       1.7012       2.6453
     161       2.0931       1.0232       1.1414       1.2889       1.8717
     162       2.1909       0.8423       1.1984       1.3956       2.1968
     163       1.8822       0.9225       1.1472       1.8519       2.4466
     164       3.1059       1.0983       1.3537       1.4802       2.7689
     165       3.3350       0.8643       1.6130       1.7020       2.9604
     166       3.8660       0.8459       1.8418       1.6567       2.7950
     167       5.3744       0.7978       3.5677       1.7750       3.0918
     168       3.6761       0.6609       2.1153       1.6523       2.9816
     169       2.4325       0.9083       1.7516       2.2083       3.4278
     170       3.3160       0.9817       2.1147       2.3826       3.2696
     171       4.2123       0.8621       2.5515       1.7569       3.1737
     172       3.0982       0.9659       1.5260       2.1052       2.9165
     173       3.1725       0.9368       2.2385       2.1898       3.0071
     174       3.5779       0.9598       2.5519       1.8741       2.7297
     175       3.4077       0.9724       2.2097       1.4775       2.4312
     176       3.8398       1.0522       2.7523       1.5815       3.1193
     177       4.9440       1.0069       3.4978       1.4429       3.2121
     178       5.4982       0.9813       3.9566       1.5492       2.8096
     179       6.3475       0.9650       4.4415       1.6751       3.4930
     180       6.5301       0.8857       3.7967       1.3432       2.9622
     181       6.7180       0.9319       4.1995       1.5761       2.8711
     182       4.1985       0.8817       3.2388       1.3752       2.8014
     183       4.7803       0.9607       2.5947       1.4951       2.5991
     184       7.7062       0.9189       4.7156       1.1839       3.1344
     185       6.7796       1.0062       3.5605       1.2428       2.9161
     186       6.3106       1.0367       3.4123       1.9206       3.1636
     187       6.4218       1.1235       4.1135       1.7213       3.4731
     188       7.6236       0.9759       4.6467       1.6875       4.3842
     189       7.2934       1.1561       4.8611       1.4626       4.0423
     190       6.8756       1.0896       4.8077       1.7251       4.3250
     191       6.0211       1.1103       4.2413       1.5660       3.8340
     192       6.6947       1.0864       5.1002       1.9666       4.5137
     193       6.9066       1.0280       5.0653       2.0949       4.6128
     194       8.9352       1.0541       5.7200       1.6524       4.6301
     195       9.7226       1.1259       5.9955       1.5849       4.8653
     196      11.2369       1.0472       6.4224       1.7419       5.2255
