#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4125       0.1737       0.8408       0.6390       0.6188
       3       1.4968       0.1663       0.8471       0.6683       0.6879
       4       1.5069       0.1781       0.9366       0.7018       0.7734
       5       1.5549       0.1774       0.8842       0.7139       0.7594
       6       1.5553       0.1843       0.8621       0.7217       0.7720
       7       1.5611       0.2861       1.1066       0.7098       0.6716
       8       1.5813       0.2999       1.2495       0.6075       0.8779
       9       1.5695       0.2850       1.1265       0.8172       0.7710
      10       1.5415       0.2898       1.0891       0.6704       0.7825
      11       1.5372       0.3053       1.1213       0.5746       0.6814
      12       1.5997       0.5520       1.6008       0.6474       0.8069
      13       1.8460       0.6456       2.0261       0.4756       0.9372
      14       1.6925       0.5922       1.8572       0.5647       0.9549
      15       1.5620       0.5678       1.5614       0.6466       1.0204
      16       1.5812       0.5396       1.6639       0.4928       0.5791
      17       1.6375       0.6383       1.9266       1.2814       1.4303
      18       3.1774       0.6915       0.7575       0.9482       1.0923
      19       3.8025       0.7098       1.1486       1.4176       1.3636
      20       2.2164       0.6087       0.9525       1.2771       1.0319
      21       2.3341       0.6637       0.6819       1.1379       1.0056
      22       2.1506       0.6719       0.4953       0.9863       0.9655
      23       2.6800       0.7180       1.5078       1.0815       1.3928
      24       3.4098       0.6980       1.5868       0.6620       1.9448
      25       2.9846       0.7839       1.5410       1.2306       1.7486
      26       2.4196       0.8648       0.9423       0.8248       1.7602
      27       3.5204       0.8472       1.8786       0.9665       1.8303
      28       3.2554       0.7749       1.4383       0.9692       1.7831
      29       3.6160       0.7257       1.3200       1.1475       2.2813
      30       3.3492       0.5951       1.2499       1.0365       1.8104
      31       3.1264       0.7648       1.4057       1.3387       1.6961
      32       1.9765       0.7895       1.0552       1.1165       1.4724
      33       2.4217       0.7681       1.3474       0.7853       1.5940
      34       2.1531       0.8958       0.7114       0.8847       1.7597
      35       1.9620       0.8956       1.0743       1.1692       2.1659
      36       2.4511       0.8257       1.2253       1.1509       2.1878
      37       2.1761       0.8139       1.0688       1.1589       2.0643
      38       1.6490       0.7630       1.0401       1.0369       2.0536
      39       1.6489       0.7776       1.1385       0.8316       1.7142
      40       2.5885       0.9381       0.9535       0.7052       1.7975
      41       2.3063       0.8353       1.1207       1.0345       1.7393
      42       1.8462       0.8342       1.3971       1.5103       1.9730
      43       2.3497       0.9274       1.0354       0.7527       1.4745
      44       2.7926       0.8170       1.3519       0.9504       1.7607
      45       2.8444       0.9724       1.4746       1.0649       2.2173
      46       2.3002       0.8051       1.0788       1.3543       2.2129
      47       2.7289       0.8744       0.9317       0.9302       1.8858
      48       1.9082       0.7276       1.0071       1.0325       2.3403
      49       2.1661       0.8573       1.3611       0.9618       1.8439
      50       2.0527       0.9443       1.5632       0.8803       2.2243
      51       2.1124       0.9301       1.5907       0.8646       1.8573
      52       1.8459       0.9632       1.6259       0.8625       2.1174
      53       2.2124       0.9981       1.4791       0.9440       1.8354
      54       2.7874       0.9804       1.5165       0.8327       1.5703
      55       3.2704       0.8550       2.0078       1.1533       2.4843
