#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4501       0.2244       0.7549       0.6025       0.8033
       3       1.5724       0.2206       0.8913       0.5624       0.9222
       4       1.6046       0.2187       0.8922       0.6126       0.8553
       5       1.6300       0.2293       1.0014       0.5966       0.9150
       6       1.6138       0.2119       0.8794       0.7022       0.8183
       7       1.6195       0.3040       1.2790       0.7310       0.9020
       8       1.5741       0.3220       1.0612       0.6402       0.9217
       9       1.5875       0.3441       1.1027       0.5600       0.7613
      10       1.6188       0.3180       1.1110       0.6178       1.0149
      11       1.6173       0.3207       1.0550       0.6529       0.7183
      12       1.4502       0.5966       1.0042       0.8154       1.3119
      13       1.5177       0.5749       0.7794       0.8191       1.1555
      14       1.6184       0.6428       1.1187       0.9532       1.3116
      15       1.5678       0.5408       1.1951       0.9526       1.5589
      16       1.4241       0.5628       1.0910       0.9713       1.4173
      17       1.3855       0.7498       0.8024       0.8298       1.1413
      18       1.9727       0.7072       0.7759       0.8756       1.0820
      19       1.8225       0.8059       1.2603       0.6835       1.1619
      20       2.4378       0.8300       1.5003       0.8230       1.3115
      21       1.5736       0.6681       1.2139       0.9884       1.2352
      22       3.0071       0.8524       1.3804       1.0400       1.3434
      23       1.9938       0.7789       1.3648       0.9797       0.9358
      24       2.6068       0.6685       0.8833       1.2153       1.3312
      25       2.3854       0.6976       1.0272       1.0825       1.1347
      26       2.4204       0.6719       0.8107       1.5101       1.3215
      27       2.8362       0.6479       1.2515       0.9908       1.3541
      28       3.4259       0.6779       2.1915       1.1545       1.3800
      29       2.2150       0.7797       0.6294       1.3294       1.0051
      30       2.7159       0.5468       1.3767       1.5910       1.2677
      31       1.9616       0.6340       0.6552       0.8689       1.1607
      32       2.0297       0.6934       0.6705       1.3045       0.8969
      33       2.0177       0.6923       0.9329       1.3288       1.1176
      34       1.8038       0.8646       0.6797       1.2253       1.3318
      35       1.5918       0.6617       0.3291       0.9198       0.7722
      36       2.1272       0.8134       0.8358       1.4888       1.1289
      37       2.5620       1.0587       0.6312       1.5192       1.4516
      38       2.2943       0.8998       0.4713       1.6572       0.9978
      39       2.8658       0.9998       0.7468       1.2126       1.1045
      40       1.9995       0.9452       0.6947       1.5560       1.2867
      41       2.4581       0.9344       0.7004       1.2030       1.1418
      42       2.7564       0.9837       0.3934       0.9215       1.3660
      43       2.5976       0.9595       1.2276       1.2964       1.2050
      44       2.1016       0.9494       0.5492       1.1426       0.8302
      45       2.0324       1.0030       0.9729       1.6809       0.8910
      46       2.0294       0.9362       0.7774       1.3254       1.0900
      47       1.6696       0.9265       0.6745       1.3669       1.0390
      48       1.5642       0.9250       0.7836       1.4379       1.2566
      49       2.1076       0.9699       0.9379       1.0903       1.1873
      50       1.8520       0.9195       0.5754       1.1494       0.8913
      51       2.2428       0.9127       0.6374       1.3040       0.9617
      52       2.1958       0.8924       0.6210       1.3962       1.0639
      53       2.0070       0.9471       0.8654       0.9601       1.0031
      54       2.5256       0.9730       0.6527       0.8733       1.2096
      55       1.3686       0.9901       0.2799       1.1880       1.3557
      56       1.4675       0.8376       0.3824       1.0808       1.3015
      57       2.1466       0.7611       0.7025       1.2324       1.5143
      58       2.4732       0.9165       1.1315       1.3330       1.1772
      59       1.6509       0.8801       1.0464       1.3331       1.4219
      60       2.5764       1.0589       0.5909       1.0045       1.2260
      61       1.4758       0.9395       1.0204       0.7348       0.9677
      62       1.6097       0.8513       0.9915       1.0424       1.1792
      63       3.0473       1.1652       1.4068       1.1394       1.1391
      64       1.7175       0.7994       0.5055       1.0825       1.1680
      65       2.9725       0.9812       0.8349       1.2678       1.3092
      66       2.8343       0.9144       1.0463       0.8636       1.0428
      67       3.1345       0.9886       0.9179       0.8410       0.9547
      68       2.1608       0.8890       1.0523       1.3729       1.0930
      69       2.4138       0.6902       1.0533       0.9259       1.1039
      70       2.0731       0.8887       1.2925       1.4237       1.3316
