#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4174       0.2139       0.8154       0.5706       0.7764
       3       1.6019       0.2205       0.9080       0.6337       0.8634
       4       1.6370       0.2382       0.9718       0.6771       0.8680
       5       1.6481       0.2295       0.9407       0.5486       0.8647
       6       1.6374       0.2342       0.9939       0.5973       0.9410
       7       1.6150       0.3197       1.2208       0.7328       0.8801
       8       1.6368       0.3093       1.1648       0.6235       0.9859
       9       1.6250       0.3183       1.3866       0.6134       0.9572
      10       1.6676       0.3381       1.2389       0.5492       1.0107
      11       1.6834       0.3190       1.1361       0.6618       0.9501
      12       1.5220       0.6242       0.9346       0.8291       1.3571
      13       1.3988       0.5588       0.8116       0.8770       1.1896
      14       1.3897       0.5591       0.8701       1.1964       1.3420
      15       1.4330       0.5408       0.9145       0.6451       1.2228
      16       1.5232       0.6438       1.1276       0.8746       1.2713
      17       1.5836       0.7223       1.0512       1.2836       1.3551
      18       1.3815       0.7461       1.0880       0.9848       1.3839
      19       2.3728       0.6859       1.4080       1.0517       1.1617
      20       2.2958       0.6592       1.1715       0.8136       1.1760
      21       2.1842       0.7097       0.8491       0.7771       1.2883
      22       1.9237       0.9377       0.6499       1.0435       1.7435
      23       1.8826       0.6798       0.8074       0.6296       1.5352
      24       1.7792       0.8709       0.9896       0.8923       1.6346
      25       1.3311       0.7874       0.6361       0.8120       1.3504
      26       1.3271       0.6809       1.1488       0.4057       0.7362
      27       1.8243       0.6264       1.0119       1.4873       1.3289
      28       1.6719       0.7161       1.3071       1.4198       1.4360
      29       1.9176       0.6903       0.8692       0.5606       1.2788
      30       1.7854       0.7180       0.8245       0.9206       1.0902
      31       1.8406       0.8273       1.3855       0.6601       1.3403
      32       1.4343       0.7348       0.7267       0.8657       1.2102
      33       1.3052       0.7195       0.5963       1.4073       1.2498
      34       1.8535       0.7817       0.7991       1.5086       1.2416
      35       1.7322       0.7361       0.4711       1.0150       1.1562
      36       1.8509       0.8590       0.8314       1.4918       1.9535
      37       2.6034       0.8260       0.8767       1.3695       1.4614
      38       2.8353       0.8638       1.0448       1.3002       1.4502
      39       2.4807       0.8031       0.9593       1.4094       1.5038
      40       3.4114       0.8525       1.7633       1.7244       1.8374
      41       1.9925       0.8957       0.6947       1.6878       1.3960
      42       2.4386       0.8344       0.5635       1.5108       1.4055
      43       1.8924       0.7701       1.0691       1.5442       1.1850
      44       1.9672       0.8879       0.7857       1.6160       1.3026
      45       1.9279       0.8295       1.0063       2.0107       1.7694
      46       2.1315       0.8404       0.7992       1.3661       1.5044
      47       1.9997       0.8705       0.7096       1.5385       1.6760
      48       2.0945       0.9351       0.7101       1.3970       1.3807
      49       1.7208       0.9850       0.7215       1.5597       1.3860
      50       2.0803       0.8552       0.9173       1.2605       1.3146
      51       2.1798       0.7893       0.8394       1.6438       1.3745
      52       1.4532       0.8510       0.8172       1.5053       1.6389
      53       1.4033       0.9004       0.8120       1.8957       1.5684
      54       1.5430       0.8724       0.7655       1.5810       1.3611
      55       2.0102       0.8929       0.8689       1.7291       1.6903
      56       1.5395       0.9298       0.8751       1.5646       1.6943
      57       1.1764       1.0012       0.6918       1.6020       1.4296
      58       2.2294       0.7958       0.8144       1.6389       1.5409
      59       2.1201       0.8795       0.6596       1.7200       1.7545
      60       2.8339       0.8990       0.7083       1.9741       2.2937
      61       1.8207       0.8976       0.4138       1.4463       1.3500
      62       2.4527       0.9623       0.6376       1.5778       1.6026
      63       1.3931       0.8516       0.7435       2.3089       2.1831
      64       2.1728       0.6911       0.9929       1.9097       1.9777
      65       2.2718       0.7473       0.7060       2.0223       2.0456
      66       1.7043       0.7623       0.4920       1.9818       2.0448
      67       2.9754       0.7358       1.1461       1.7739       2.2972
      68       1.7910       0.7162       1.2198       1.9255       1.9929
      69       1.5766       0.7484       0.5555       1.8157       2.1527
      70       2.4343       0.6898       0.8793       1.8986       1.8680
      71       2.3168       0.8146       1.3296       2.0651       2.1452
      72       2.4005       0.6590       0.9497       1.4220       1.6231
      73       2.6792       0.6317       1.3381       1.7237       1.9096
      74       1.6941       0.7301       1.1545       1.2437       1.5953
      75       2.6884       0.6436       0.9347       1.6599       1.9399
      76       2.9337       0.7200       1.2186       1.9539       2.1162
      77       3.2856       0.6949       1.3442       2.0766       2.0557
      78       2.7290       0.8722       0.7069       1.7108       1.6314
      79       2.1644       0.7823       0.6588       1.2933       1.2748
      80       2.3019       0.7318       1.4604       1.2692       1.8843
      81       2.3168       0.7533       1.0882       1.4479       1.1443
      82       1.5275       0.6909       1.0483       1.1326       0.7995
      83       1.9755       0.8112       0.9393       1.5927       1.3441
      84       1.7601       0.7634       1.2123       1.6422       0.9545
      85       1.5367       0.8434       1.1721       1.2857       1.0757
      86       2.2702       0.8394       1.5783       1.3626       1.1995
      87       2.5772       0.9184       1.1758       1.3282       1.3439
      88       2.1836       0.9760       1.3526       1.7041       1.5230
      89       1.8429       0.7515       0.7432       1.6499       1.7322
      90       1.8296       0.7457       0.7898       1.4268       1.5818
      91       2.2246       0.7906       1.6523       1.9933       1.9779
      92       2.1128       0.8769       1.3682       1.4218       1.5825
      93       2.0938       0.8515       1.6302       1.4969       1.5946
      94       1.6741       0.7173       0.9274       1.6306       1.6374
      95       2.5818       0.8924       1.1412       1.4806       1.4308
      96       2.8422       0.7310       1.6277       1.2886       1.6810
      97       3.3075       0.8551       2.0378       1.4732       1.9834
      98       2.8898       0.8785       1.6576       1.5228       1.7067
      99       2.1507       0.7502       1.0067       1.6740       2.0374
     100       2.3481       0.7862       1.0266       1.3183       1.4730
     101       3.4771       0.9093       1.9436       1.5081       1.8277
     102       4.1058       0.9200       2.2521       1.7416       2.0220
     103       3.6502       0.9173       2.0648       1.5734       2.0124
     104       4.3251       0.8520       2.4704       2.0046       2.3035
     105       3.4630       0.8434       1.5118       1.7727       1.7353
     106       3.0116       0.8264       1.6500       1.5709       1.5858
     107       2.2878       0.8399       1.8500       2.2066       2.0598
