#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4583       0.2233       0.8851       0.5838       0.8802
       3       1.5621       0.2236       0.9175       0.5890       0.8244
       4       1.6269       0.2265       0.9002       0.6022       0.9088
       5       1.6114       0.2259       0.7776       0.6017       0.8223
       6       1.6322       0.2144       0.9766       0.6411       0.9321
       7       1.6451       0.3047       1.3155       0.6096       1.0857
       8       1.6721       0.3094       1.2620       0.6798       0.9797
       9       1.6899       0.3278       1.2475       0.8108       1.0272
      10       1.6908       0.3080       1.1073       0.6778       0.9312
      11       1.6793       0.3154       1.1743       0.6764       0.9172
      12       1.6745       0.5312       1.1647       0.8062       1.1508
      13       1.5339       0.5270       1.1071       0.5762       0.9643
      14       1.5845       0.6153       0.8582       0.2763       0.8121
      15       1.6550       0.5943       0.6655       0.7958       0.9448
      16       1.5854       0.6236       0.9724       0.5439       0.7363
      17       1.0531       0.6304       0.4445       1.0649       1.0047
      18       1.9557       0.6180       0.6510       0.8742       0.8651
      19       2.0362       0.5446       0.6376       1.5049       1.2790
      20       1.6863       0.5802       0.7247       1.3271       1.1384
      21       3.3266       0.7746       1.2944       0.9160       1.3884
      22       1.3691       0.5917       0.5892       0.9201       0.8324
      23       1.5473       0.6831       0.9365       1.0099       1.3248
      24       1.7057       0.6314       0.6482       1.1985       1.2343
      25       2.1709       0.6833       0.7748       1.4055       1.3313
      26       1.2271       0.6267       1.1129       1.4866       1.2018
      27       2.1225       0.6754       0.8772       1.6622       1.7672
      28       1.2204       0.6404       1.1339       1.7749       1.9592
      29       1.4267       0.6933       1.2321       1.5562       2.2576
      30       1.2485       0.7201       1.7761       1.1386       2.1645
      31       1.8719       0.8628       1.3875       1.3474       1.1892
      32       1.4683       0.7957       1.1108       1.4326       1.6358
      33       2.1796       0.7185       1.3986       0.9486       1.7471
      34       2.4241       0.6432       1.3370       1.4469       1.1906
      35       1.4964       0.7375       1.1737       1.5982       1.5186
      36       1.8932       0.6440       1.5639       1.4115       1.9509
      37       1.9055       0.6863       1.4467       2.3561       1.9843
      38       1.8533       0.6276       1.7687       1.6691       1.7059
      39       2.3515       0.7388       1.5750       2.1224       1.5181
      40       2.7717       0.7709       1.8085       2.3960       1.8333
      41       2.2147       0.7530       1.6083       1.4939       1.5749
      42       1.8627       0.8193       1.3755       1.6757       1.9293
      43       1.8711       0.6953       1.1728       1.7379       1.8786
      44       3.4939       0.6588       1.5931       1.8921       1.8767
      45       2.5869       0.6193       1.7479       1.7280       2.1174
      46       1.9791       0.6828       1.6157       1.8169       2.2877
      47       1.5217       0.7016       1.1107       1.4927       1.9524
      48       1.4974       0.6889       1.4265       1.9246       2.1070
      49       2.0535       0.7191       1.4554       1.7950       2.1768
      50       2.8226       0.6938       2.1253       2.1592       1.6833
      51       2.7757       0.7027       1.8145       1.7113       1.8705
