#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4586       0.1670       0.8560       0.6150       0.7477
       3       1.5994       0.1764       1.0471       0.6381       0.8111
       4       1.6708       0.1688       1.0048       0.7725       0.7353
       5       1.6746       0.1721       1.0100       0.7954       0.9426
       6       1.6555       0.1742       0.9859       0.6827       0.8030
       7       1.6556       0.3093       1.2765       0.6373       0.8747
       8       1.6703       0.2706       1.1720       0.5932       0.8043
       9       1.6676       0.2889       1.2675       0.6115       0.8688
      10       1.6450       0.2704       1.1880       0.7005       0.9078
      11       1.6309       0.2727       1.1665       0.6748       0.9631
      12       1.5448       0.4628       1.3103       0.4952       1.1473
      13       1.3973       0.4557       1.6563       0.6853       1.2817
      14       1.5615       0.4513       1.4929       0.9790       0.9637
      15       1.5148       0.5645       1.4919       0.5088       1.4360
      16       1.7043       0.5296       1.8693       0.5475       1.3924
      17       1.6432       0.5663       1.3079       1.1965       2.1101
      18       1.9290       0.6214       1.3837       0.8174       1.4605
      19       1.6378       0.7989       1.3657       0.5295       1.8417
      20       1.7561       0.7152       0.9941       0.5484       1.5429
      21       2.1718       0.6331       1.2123       0.7792       1.7721
      22       2.1529       0.7422       1.6239       0.5164       1.7994
      23       2.3934       0.7091       1.4214       0.6679       1.8243
      24       3.1328       0.6818       1.3724       1.0176       1.8311
      25       2.0678       0.8686       0.7138       0.9341       2.4599
      26       2.3576       0.8179       1.3948       1.4813       1.5819
      27       1.6524       0.8054       0.9810       0.8050       1.4558
      28       1.5314       0.7905       0.9563       1.0706       1.5698
      29       2.0324       0.9943       1.1343       1.1849       1.5696
      30       2.4747       0.8631       1.1765       0.9219       1.3769
      31       2.7552       0.7785       1.8230       0.8142       1.7596
      32       1.7916       0.9018       1.1824       0.9879       1.4768
      33       1.4143       1.0464       0.7314       1.2677       1.5715
      34       1.8401       0.8897       1.3008       0.8823       1.5349
      35       2.2386       0.7895       0.6915       0.8088       1.8451
      36       2.4698       0.7490       0.6979       1.4358       1.5881
      37       2.5576       0.6987       1.1262       1.4643       2.0626
      38       2.1625       0.8334       1.5924       1.6327       2.1269
      39       2.1052       0.7928       1.1755       1.0677       1.9867
      40       2.5729       0.6570       1.6151       0.8901       2.3557
      41       2.0065       0.7965       1.7231       1.1999       2.1934
      42       1.9559       0.8244       1.8484       0.7977       2.4610
      43       1.4273       0.6756       1.3201       0.9446       1.9623
      44       2.0839       0.7034       1.6342       1.1909       2.4277
      45       2.1309       0.7479       1.0488       0.7371       1.6076
      46       1.8530       0.6990       1.3671       1.2667       2.2002
      47       2.1949       0.8381       1.7807       1.0030       2.4197
      48       1.8765       0.6973       1.3021       0.9328       2.4354
      49       1.8873       0.7720       1.3572       1.0633       2.2118
      50       3.2511       0.7850       1.7792       1.0108       1.8247
      51       3.9434       0.7264       2.7249       1.0732       3.0563
      52       1.8268       0.7060       1.6501       1.1676       1.8287
      53       3.8880       0.7912       2.7561       0.8351       2.5314
      54       2.6730       0.7309       2.0870       0.9928       2.2123
      55       2.8844       0.9486       2.2500       1.4521       2.3256
      56       2.8067       0.8599       1.6115       0.9692       1.6722
      57       2.1516       0.8108       1.5449       0.7977       2.2014
      58       3.0210       0.9962       2.1373       0.7471       2.4677
      59       3.5143       0.9796       2.0107       1.3021       2.5764
      60       3.9156       0.9043       2.4003       1.4797       2.6915
      61       4.1989       0.8945       1.6020       1.2927       2.1061
      62       4.1638       0.9864       2.3242       1.0462       2.4433
      63       3.9719       1.0406       1.8717       1.3312       2.3662
      64       4.0253       0.9588       2.2199       0.7866       2.1900
      65       4.8814       0.9166       1.8239       0.9060       2.1233
      66       3.9737       0.7810       2.4789       0.9073       2.6292
      67       2.9131       0.7671       2.0205       1.2457       2.1724
      68       2.2257       0.8118       1.2505       0.9005       1.5389
      69       1.6918       0.8309       1.4135       1.2826       2.2166
      70       2.8357       0.8067       1.7476       1.1069       1.7807
      71       2.1239       0.7461       0.8324       1.1064       1.7995
      72       2.1690       0.6503       0.9075       1.1472       1.8800
      73       2.7408       0.7898       1.0242       1.4324       1.9859
      74       2.9740       0.8018       0.8658       1.0257       2.0567
      75       3.0000       0.8625       0.8913       0.8374       1.2396
      76       2.0429       0.9010       0.9829       1.3642       1.7495
      77       2.3954       0.8365       1.6907       1.5674       2.2158
      78       2.1243       0.8118       1.3532       1.4205       1.6837
      79       2.9660       0.6583       1.9512       0.9550       2.0079
      80       3.2078       0.7076       2.4719       1.7433       2.8324
      81       2.8134       0.7427       2.0529       1.4861       2.2633
      82       2.1218       0.6950       2.0705       0.8121       2.5266
      83       2.4744       0.7860       1.6847       1.2902       2.2761
      84       3.0548       0.8224       1.2105       0.8995       1.7184
      85       3.0366       0.8932       1.9954       1.3187       2.3639
      86       2.2251       0.7863       1.9864       0.8946       1.7964
      87       2.1214       1.0595       1.2214       0.9667       1.8314
      88       1.8426       0.7566       1.2800       1.0080       1.7161
      89       2.7065       0.6908       2.1906       0.6677       1.9505
      90       3.1583       0.7085       2.1915       0.6052       2.0956
      91       3.0011       0.7736       2.5086       0.9001       2.2486
      92       3.2091       0.7236       1.6844       0.5763       1.5186
      93       2.4635       0.8545       1.3846       1.1760       1.9142
      94       2.7338       0.8214       1.8374       1.0577       1.7813
      95       2.2409       0.7123       1.2992       0.6748       1.1771
      96       3.7143       0.9894       1.3577       0.9828       1.8850
      97       1.8745       0.9026       0.7800       1.3873       1.4858
      98       3.4269       0.9426       1.4960       1.0306       1.9774
      99       4.6124       1.0744       1.8911       1.4430       2.4018
     100       4.6217       0.9660       1.7212       1.2362       1.8426
     101       4.3041       1.0835       2.3619       1.9134       2.3655
     102       4.7775       0.8595       2.2730       0.7988       2.3794
     103       4.9437       0.9821       2.3895       0.9861       2.2427
     104       6.0786       0.9733       2.2576       0.9928       2.4910
     105       6.6215       0.9363       1.9511       0.7994       2.5225
     106       6.4971       0.9007       2.3337       0.7876       2.3697
     107       3.9997       0.9050       1.4281       0.7854       1.5527
     108       4.0890       0.9859       2.7497       0.9930       2.5753
     109       3.8313       0.9404       1.8935       1.1016       2.3133
     110       3.9963       1.0067       1.3067       0.8992       2.0152
     111       4.6435       0.8812       2.0765       0.5039       2.1963
     112       6.0742       1.0318       2.3994       0.7599       2.6087
     113       5.1506       0.9917       1.9574       0.8887       1.4940
     114       4.2458       0.8704       1.2673       0.9390       1.7902
     115       4.0893       0.9373       1.8564       1.3411       2.1716
     116       3.8461       0.8504       1.6134       0.6997       2.3271
     117       4.1402       0.8985       1.6417       0.9986       1.9132
     118       4.8638       0.7939       2.6264       0.7569       2.6108
     119       6.3483       0.8456       2.5739       0.8416       2.1939
     120       5.3377       0.8032       2.2841       0.8749       2.3075
     121       4.3878       0.8084       1.8897       0.8208       2.0891
     122       4.0953       0.7792       1.6153       0.7896       1.9203
     123       4.9228       0.8316       1.9185       1.0272       1.8273
     124       4.3270       0.8794       1.2231       0.9471       2.2219
     125       3.9356       0.8391       1.2644       1.2841       2.1240
     126       5.4112       1.0011       1.5126       1.3950       2.5410
     127       4.4971       0.9964       1.1818       1.2701       1.7134
     128       3.3244       1.0336       1.0918       0.6770       2.2297
     129       6.2577       0.8005       1.7704       0.8522       2.0825
     130       5.4688       0.9079       1.5507       0.7487       2.5878
     131       5.8475       0.8876       2.1468       1.0293       2.4470
     132       5.6345       0.7768       2.3361       1.1001       2.5301
     133       3.3598       0.7648       1.0641       1.2509       2.0601
     134       5.5280       0.8294       1.8025       0.9237       1.9454
     135       3.7846       1.0812       0.6166       0.9500       2.6723
     136       4.8306       0.9944       1.7767       0.9903       1.9947
     137       4.1712       0.8598       1.4443       0.7647       2.1537
     138       4.3311       0.7408       1.0534       0.6929       2.1017
     139       3.6352       0.9616       0.9951       1.2352       2.2116
     140       4.7628       0.9152       1.3680       0.7775       2.1859
     141       3.0441       0.7827       1.1890       0.9011       1.8840
     142       3.3597       0.9235       0.6582       0.7496       1.9813
     143       3.7148       0.8809       0.8656       1.3000       2.4640
     144       3.6101       0.8399       0.9129       0.6927       2.2007
     145       4.1499       0.9682       0.9405       0.9099       2.3987
     146       3.3592       0.7357       0.9140       0.5219       2.3368
     147       4.0045       0.8333       1.1601       0.6513       2.0136
     148       4.4061       0.7253       0.9147       0.5298       2.1581
     149       3.8620       0.7429       0.9393       0.6760       2.0475
     150       4.0060       0.8202       0.6079       0.7701       2.2904
     151       4.4275       0.7003       1.2653       0.4394       1.9681
     152       3.8029       0.8617       0.8851       0.9253       2.6780
     153       4.9731       0.9456       1.3211       0.6786       1.9318
     154       4.9185       0.8862       1.2827       1.0534       2.2978
     155       3.2601       0.9919       1.0817       0.7812       2.2314
     156       4.5406       0.9029       1.4319       0.6919       2.4390
     157       6.9656       0.9878       1.7346       1.0202       2.1870
     158       5.0192       0.8953       0.9360       1.1972       1.9978
     159       5.1339       0.6351       1.3699       0.8623       2.6629
     160       6.1040       0.8641       2.3369       0.6724       2.8122
     161       5.4508       0.7961       1.4638       0.8886       2.5783
     162       4.0889       1.0775       1.2199       1.0063       2.5554
     163       3.3071       0.8482       0.8372       0.8001       2.2531
     164       4.1392       1.0105       1.3491       0.8703       2.0968
     165       3.4993       0.8977       1.2023       0.8388       2.3319
     166       3.5890       0.8571       1.7178       0.7448       2.6592
     167       3.0521       0.9361       1.5817       1.0350       2.0029
     168       3.1709       0.9045       2.2085       1.1792       1.7192
     169       2.2757       1.0301       1.3261       0.9150       1.6567
     170       2.9667       1.0267       0.9957       0.4531       2.2955
     171       4.4817       0.7950       1.3494       0.6185       2.0222
     172       4.5224       0.8598       1.8378       0.4751       2.3598
     173       3.8276       0.9485       2.1285       1.0151       2.0196
     174       4.0915       0.8994       2.1446       0.9292       2.2530
     175       3.1457       0.9690       1.7337       0.6877       2.3484
     176       4.0061       0.6780       1.8569       0.8511       2.3393
     177       4.8013       0.7262       1.4551       0.9046       2.5250
     178       5.2337       0.7461       1.5802       0.5978       2.6711
     179       5.4157       0.7474       2.1894       0.5688       3.0218
     180       4.0775       0.7315       1.4582       0.7282       2.3887
     181       4.5106       0.8332       1.7835       0.7671       2.3948
     182       3.7253       0.7776       1.0470       1.3512       2.4249
     183       3.2693       0.7897       0.9025       1.0944       2.4245
     184       4.3677       1.0185       1.3914       1.1712       2.7559
     185       2.9367       0.7597       0.6858       1.1600       2.2634
     186       4.0292       0.7488       1.8818       0.9471       2.7219
     187       3.5778       0.8161       1.1453       0.7436       2.5372
     188       3.5880       0.8500       0.8172       0.6318       2.1595
     189       3.5281       0.7962       1.0612       0.7211       2.2657
     190       4.0542       0.6894       1.1400       0.6637       2.4796
     191       3.5666       0.6716       1.4358       0.6986       1.7636
     192       3.7529       0.8938       1.0903       0.8568       2.2811
     193       2.6828       0.7779       0.8048       1.2710       2.7242
     194       3.9362       0.9310       1.5109       0.5747       2.5596
     195       3.9940       0.8404       1.5484       0.4941       2.7162
     196       3.5515       1.0946       1.4838       1.1572       2.6153
     197       3.3028       0.7461       1.0798       0.6616       2.0138
     198       4.8833       0.8487       2.0342       0.7779       3.2170
     199       2.5321       0.8911       1.4077       0.8770       2.8293
     200       2.7593       0.9157       1.0708       1.3871       2.2671
     201       4.5074       1.0087       1.2537       0.9984       1.9737
     202       6.7797       0.7552       2.2834       0.7413       2.1212
     203       6.7975       0.9682       2.3274       0.7370       2.1088
     204       5.9945       0.8353       2.1077       0.8781       2.2875
     205       5.2608       0.9154       2.0480       0.8192       2.2051
     206       4.8265       0.9382       1.8045       1.1148       2.0198
     207       4.3697       0.8950       1.3368       0.7444       1.9297
     208       5.5348       0.8976       2.4959       1.0733       3.3734
     209       3.8121       0.9628       1.6847       1.0515       2.2947
     210       5.5175       1.0009       1.9426       1.4286       2.4581
     211       5.6834       1.0941       2.5528       0.9217       2.7329
     212       5.2752       0.9863       2.1825       0.9972       2.2084
     213       5.3465       1.0061       2.1295       1.0355       2.5643
     214       3.7249       0.7805       2.1107       0.9245       2.3829
     215       3.0874       0.8304       1.4950       1.6603       1.8189
     216       3.3635       1.0372       1.7611       1.1187       2.5358
     217       3.7582       0.8835       1.8822       1.2550       1.8549
     218       3.1499       1.1315       1.4506       1.1721       2.3182
     219       3.8121       0.8622       1.7448       0.8612       2.2717
     220       3.7857       0.8358       1.5060       1.0849       2.4942
     221       3.5588       0.9188       1.5553       0.8232       2.1749
     222       3.0536       0.8320       2.0199       1.1968       1.8685
     223       2.9719       0.8422       1.2874       0.7705       2.2013
     224       3.1379       0.8909       1.2462       1.0268       1.4039
     225       3.6242       0.8272       2.2775       0.8251       2.4169
     226       3.8074       0.9038       1.9757       1.0121       2.1981
     227       3.8785       0.8089       2.1969       1.1212       2.4399
     228       3.6016       0.7896       1.7985       1.0367       2.1151
     229       3.3924       0.9699       1.9374       0.8015       2.1802
     230       3.9679       0.8991       2.0688       0.8221       2.7753
     231       3.8414       0.8886       1.3707       0.7652       2.3029
     232       4.3414       0.9567       1.3601       1.4586       2.0759
     233       3.7057       0.8297       1.8743       0.4443       2.0194
     234       4.4300       0.8095       2.5762       0.8856       2.7671
     235       3.4065       0.9688       2.3018       0.9413       2.8916
     236       3.3458       0.9756       1.7070       1.1608       2.4956
     237       4.8530       0.7984       2.7133       0.6780       2.5705
     238       4.8063       0.7206       1.6939       0.5387       1.9263
     239       4.9877       0.7748       2.1567       0.6098       2.3716
     240       4.1243       1.0419       1.4697       0.9293       1.5522
     241       4.0244       0.8097       2.1489       1.2631       2.3013
     242       5.6288       1.0134       2.7215       0.9499       3.2094
     243       6.4705       0.8780       1.6363       0.8056       1.9990
     244       5.8848       0.7320       1.5349       0.7200       2.5375
     245       8.5623       0.7689       3.6915       0.4839       2.9380
