#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4310       0.1802       0.9619       0.7086       0.9104
       3       1.5758       0.1898       1.0540       0.8278       0.8639
       4       1.6409       0.1753       0.9663       0.7253       0.9006
       5       1.6177       0.1808       0.9419       0.8052       0.9016
       6       1.6154       0.1748       1.0002       0.7904       0.9314
       7       1.6906       0.2727       1.3058       0.7676       1.0477
       8       1.6695       0.2426       1.3808       0.6769       1.0758
       9       1.6436       0.2567       1.3178       0.6518       0.9638
      10       1.6745       0.2629       1.3088       0.9394       1.1924
      11       1.6948       0.2670       1.2150       0.8145       0.9790
      12       1.5584       0.4900       2.1574       0.6483       1.1950
      13       1.5682       0.5622       2.9448       0.5580       2.1189
      14       1.5413       0.5171       2.2601       0.5620       2.0743
      15       1.7016       0.5322       2.3013       0.4832       2.0033
      16       1.4745       0.5265       2.2675       0.4559       1.8724
      17       1.6207       0.5438       1.9383       0.9125       1.7221
      18       2.3709       0.6198       1.4345       0.6824       1.2309
      19       1.5947       0.6331       1.0842       0.5768       1.2551
      20       2.9688       0.6506       1.5083       0.7817       1.1354
      21       2.8330       0.6518       1.0881       0.7583       1.0566
      22       2.7357       0.6589       1.0949       0.8631       1.4615
      23       2.1636       0.6860       0.7124       0.8582       1.2456
      24       3.7559       0.6088       0.8370       0.6855       0.9633
      25       3.5538       0.6491       0.6651       1.2129       1.2327
      26       2.4134       0.6918       0.8021       0.8459       0.9164
      27       2.7333       0.7617       0.7489       1.0799       1.1728
      28       3.3627       0.7569       1.2784       1.3608       1.1462
      29       3.3036       0.7678       1.2362       1.0933       0.8845
      30       2.7692       0.6535       1.2642       1.1488       1.0358
      31       1.5428       0.6710       1.3079       0.9339       1.4434
      32       2.7039       0.6160       1.7227       1.3166       1.3063
      33       2.8893       0.6152       1.4218       1.4705       1.4702
      34       3.8186       0.6426       1.3103       1.0443       0.9702
      35       2.1485       0.6673       0.8887       0.7009       1.1245
      36       2.9729       0.6150       0.8010       0.7746       1.0317
      37       3.8569       0.6675       1.3896       0.8443       0.9876
      38       3.3530       0.5819       1.2825       0.7214       0.8392
      39       1.8899       0.6018       0.6352       0.5893       0.9046
      40       3.0154       0.7902       1.1383       1.1139       1.2968
      41       1.7186       0.7362       0.3679       1.9512       0.9947
      42       2.1755       0.7402       0.7048       1.2032       0.8921
      43       1.9177       0.7344       0.8747       1.1308       1.3822
      44       2.4188       0.8006       1.2498       1.0859       1.3252
      45       1.7358       0.8207       1.1102       0.8368       1.2458
      46       1.5796       0.8151       1.0922       0.8707       1.3770
      47       1.9944       0.7756       1.2603       0.5555       0.9592
      48       1.7092       0.6538       0.9567       0.5696       1.0917
      49       2.1144       0.7218       0.6091       0.9554       0.7871
      50       2.3340       0.6287       0.5946       1.0468       1.5537
      51       2.5176       0.6677       1.0224       0.3539       1.2229
      52       2.4152       0.8754       1.0814       0.6036       1.6241
      53       2.9613       0.7215       1.2156       1.2171       1.7982
      54       3.2409       0.7557       1.3626       0.9672       1.2881
      55       2.9959       0.7060       1.2880       0.8940       1.8868
      56       3.2118       0.7826       2.3522       0.7418       2.2129
      57       3.7615       0.7840       1.2620       1.1829       1.3627
      58       3.5969       0.6952       1.7023       0.9344       1.3945
      59       2.4567       0.8634       1.5309       0.9284       2.3021
      60       2.7109       0.7597       0.9438       1.7196       1.1594
      61       3.1198       0.7017       0.7694       0.8176       1.0636
      62       3.3810       0.8801       0.9679       1.0332       1.1926
      63       2.8949       0.7818       0.4285       0.9866       1.0214
      64       3.4536       0.7342       1.3717       0.9867       1.2134
      65       3.6856       0.6922       1.2703       0.7914       1.2335
      66       2.3099       0.7695       1.2880       0.8726       1.5921
      67       2.6014       0.6675       0.8373       0.4743       1.2136
      68       2.5310       0.7005       1.0153       0.8152       1.1499
      69       3.0625       0.6590       0.5353       0.6430       0.9328
      70       2.2381       0.8253       0.9864       1.2606       1.3224
      71       2.0206       0.7490       0.9896       0.5499       0.8970
      72       2.0424       0.7486       1.0033       0.8887       1.4897
      73       1.4204       0.7181       0.7673       1.3859       1.4590
      74       2.0713       0.8937       1.2546       0.7975       1.7279
      75       2.3890       0.8668       1.1681       0.6860       1.2910
      76       3.6101       0.7959       0.9094       1.0920       1.2441
      77       3.4498       0.7946       1.4418       0.9754       1.3128
