#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5078       0.2372       0.8738       0.5372       0.8843
       3       1.5850       0.2503       0.9691       0.5619       0.8459
       4       1.6142       0.2330       0.9031       0.6413       0.7445
       5       1.6234       0.2299       1.0243       0.6608       0.8829
       6       1.6610       0.2323       0.9505       0.6196       0.8559
       7       1.6213       0.3241       1.1834       0.7431       0.8987
       8       1.6403       0.3371       1.0983       0.6955       1.1292
       9       1.6637       0.3360       1.2403       0.7138       0.9986
      10       1.6568       0.3379       1.1865       0.6798       0.8820
      11       1.6493       0.3128       1.2143       0.7185       0.9017
      12       1.5329       0.5231       0.8023       1.3778       1.3496
      13       1.6077       0.6086       1.1106       1.2637       1.1912
      14       1.5600       0.5425       1.1521       1.1054       1.4389
      15       1.3380       0.5874       1.1468       1.3876       1.5844
      16       1.3529       0.5587       0.8685       1.2525       1.3326
      17       1.4184       0.7801       1.1036       1.1685       1.0667
      18       2.0072       0.6498       1.0420       0.8437       0.8038
      19       1.3486       0.6282       0.5860       0.8508       1.2329
      20       1.4025       0.6982       0.8454       1.0248       1.1026
      21       1.0853       0.6134       0.3340       0.9841       1.2288
      22       1.3756       0.6538       0.8185       1.5212       1.1931
      23       1.6993       0.6086       0.6300       0.9010       1.0309
      24       2.1482       0.7275       0.7140       0.6536       1.3127
      25       2.0541       0.8794       0.5332       0.6854       1.2214
      26       1.5306       0.6851       0.3876       0.7366       1.4132
      27       2.3878       0.8186       0.5353       0.8888       1.3594
      28       1.5786       0.7926       0.5962       0.6813       1.2661
      29       1.8202       0.6429       0.8358       0.9029       1.3510
      30       1.4612       0.7080       0.8384       1.3743       1.0974
      31       1.7068       0.7118       1.1972       1.2665       1.5810
      32       2.0393       0.6079       1.5073       1.7059       1.2457
      33       1.3833       0.6492       0.6141       1.2326       1.1296
      34       1.8277       0.7708       0.6956       1.0624       0.9304
      35       2.9193       0.6274       1.3335       1.7436       1.0304
      36       1.9543       0.7372       0.5513       1.7100       1.2397
      37       2.1490       0.7986       1.1702       2.0068       1.5243
      38       2.2250       0.8174       1.1216       1.7093       1.3583
      39       1.4664       0.6637       0.6456       1.9487       1.2442
      40       3.1505       0.7727       1.3899       1.5292       1.1176
      41       1.8201       0.7408       0.9524       1.7414       1.5986
      42       2.2980       0.7069       1.0839       1.5371       1.1068
