#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5248       0.1846       1.0106       0.6017       0.7298
       3       1.6648       0.1564       1.0219       0.6924       0.8903
       4       1.6663       0.1754       1.0514       0.6841       0.7765
       5       1.7002       0.1691       0.9739       0.6500       0.8261
       6       1.6939       0.1752       1.0697       0.7155       0.8114
       7       1.7019       0.2610       1.2621       0.5996       0.9079
       8       1.7446       0.2814       1.3952       0.6327       0.9197
       9       1.6890       0.2784       1.2199       0.7747       0.7574
      10       1.7111       0.2850       1.3312       0.8282       0.9901
      11       1.6919       0.2684       1.3788       0.7215       0.9694
      12       1.7062       0.4846       2.1854       0.5064       1.4307
      13       1.9683       0.5206       2.3368       0.7201       1.2812
      14       1.9738       0.5286       1.7301       0.6984       1.3027
      15       2.1528       0.5547       2.0389       0.7267       1.2727
      16       1.9251       0.5067       2.1343       0.5894       1.3392
      17       2.3312       0.6861       2.6460       0.9831       1.6110
      18       1.8225       0.6277       1.6504       0.7568       1.4397
      19       3.0225       0.6424       2.2250       1.1959       1.5851
      20       2.7506       0.6550       1.7486       0.9298       1.6299
      21       2.5840       0.6923       1.9297       1.3032       2.1342
      22       3.1458       0.8113       2.0845       1.0386       1.6159
      23       4.2331       0.7567       2.3842       1.1686       1.6569
      24       3.6778       0.7318       2.2564       0.7694       1.8940
      25       2.9446       0.7625       1.9508       1.5481       1.4773
      26       3.0015       0.7556       2.1101       1.0827       1.1994
      27       3.5750       0.8015       1.8968       0.7881       1.2831
      28       3.1712       0.7148       2.7843       0.8046       1.8737
      29       2.8442       0.8396       2.1803       0.5637       1.7396
      30       2.4736       0.9245       1.9463       1.3295       1.4548
      31       2.9658       0.8782       1.7305       1.0305       1.4499
      32       2.5665       0.8525       1.6735       1.2722       1.5570
      33       1.7973       0.7640       0.5899       1.1465       1.6880
      34       2.6073       0.8699       1.2582       0.9415       1.3516
      35       2.6034       0.7807       0.8840       1.1395       1.7883
      36       2.4798       0.7253       1.0564       1.3687       1.2440
      37       2.5585       0.8435       1.2389       1.3640       1.6895
      38       2.6131       0.9240       0.7825       0.9485       1.5137
      39       2.2961       0.7295       1.0320       1.1192       1.4396
      40       2.2478       0.7995       1.3253       0.7261       1.3277
      41       2.2797       0.9977       1.4828       1.0610       1.2459
      42       1.6336       0.7434       0.8614       0.6585       1.2049
      43       2.2524       0.9081       1.5070       1.2385       1.1519
      44       2.1116       0.7018       1.2851       1.0569       1.3538
      45       2.7862       0.7223       1.9975       1.2300       1.7524
      46       1.9083       0.7510       1.5421       0.9160       1.7415
