#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.4996       0.2255       0.8520       0.6769       0.7769
       3       1.5442       0.2237       0.8186       0.6086       0.8388
       4       1.6200       0.2266       1.0246       0.6653       0.8256
       5       1.6256       0.2374       0.9559       0.5795       0.8802
       6       1.6038       0.2364       0.8666       0.7063       0.8218
       7       1.6003       0.3377       1.0756       0.6308       0.9450
       8       1.6184       0.3365       1.1064       0.6428       0.9203
       9       1.6136       0.3070       1.1458       0.6125       0.7657
      10       1.6125       0.3172       1.0932       0.5454       0.8304
      11       1.6038       0.3356       1.1446       0.6927       0.8193
      12       1.6921       0.6584       0.9356       0.9524       1.3987
      13       1.4221       0.6122       0.9431       1.0663       1.2246
      14       1.7479       0.5874       0.9885       1.1206       1.3576
      15       1.6748       0.6218       1.0073       0.9548       1.2844
      16       1.6506       0.6455       0.9301       0.9600       1.3096
      17       1.8761       0.7545       0.9130       1.0175       1.4487
      18       1.4638       0.7900       0.8406       1.0402       1.3470
      19       1.9034       0.8734       1.0068       0.8987       1.0039
      20       1.6348       0.8246       0.6418       1.1177       1.1878
      21       1.4238       0.7678       0.7157       1.0495       1.0216
      22       1.4767       0.7579       0.9191       1.0308       1.1482
      23       1.2222       0.6315       0.4790       0.9095       1.3176
      24       1.8937       0.6437       0.6148       0.8568       1.1971
      25       1.4518       0.6757       0.4926       1.0484       1.2119
      26       2.7639       0.7928       0.9327       0.7532       1.2739
      27       1.6660       0.7639       1.1531       1.7537       1.7345
      28       2.9575       0.9435       1.0866       1.4648       1.2254
      29       2.5877       0.8433       0.8954       1.6261       1.5552
      30       2.4705       0.8858       0.9693       1.3321       1.1680
      31       1.8469       0.7718       0.8843       1.0909       1.2383
      32       2.2907       0.8843       0.8663       0.7837       1.1084
      33       2.2795       0.9029       0.8322       1.4087       1.1370
      34       2.0999       0.7046       0.5675       1.0318       0.9844
      35       2.0127       0.8072       0.5663       1.2205       1.0779
      36       2.3262       0.6866       1.1789       1.3400       1.5267
      37       2.4436       0.8718       0.7107       1.3521       1.0085
      38       2.1283       0.7780       0.7079       1.2304       1.0178
      39       2.6773       0.8186       0.8602       1.4644       1.2869
      40       2.8359       0.8294       0.9375       1.3468       1.3203
      41       2.8922       0.7905       0.9801       1.0965       1.1207
      42       3.2719       0.8044       1.4564       1.3467       1.4918
      43       2.9355       0.8968       1.2641       1.3927       1.3085
      44       3.7103       0.8682       1.5601       1.3232       1.4481
      45       3.1484       0.7767       1.0445       1.5756       1.3391
      46       2.3190       0.7502       0.8400       1.3350       1.1599
      47       2.9797       0.8293       1.2556       1.1401       1.2958
      48       2.8789       0.8386       1.0331       1.5422       1.5017
      49       3.1018       0.9869       1.0228       1.2063       1.3161
      50       2.2972       0.8938       0.9577       1.7633       1.8869
      51       2.2212       0.8970       0.5961       1.6043       1.8811
      52       2.2709       0.8634       0.7134       1.2241       1.5341
      53       2.2890       0.8718       0.6115       1.7019       1.7930
      54       3.2328       0.8266       1.0664       1.6173       1.9806
      55       2.4987       0.8328       1.0346       1.5849       1.5533
      56       2.4367       0.7525       0.8288       1.7042       1.4000
      57       3.1527       0.7522       1.2329       1.1799       1.3470
      58       3.5414       0.8666       1.2708       1.1943       1.2855
      59       2.7228       0.8584       1.0176       1.3809       1.3400
      60       2.7846       0.8098       0.9060       1.8280       1.6077
      61       3.1302       0.8554       1.2077       1.1652       1.3021
      62       2.2868       0.7049       0.7488       1.6889       1.6507
      63       2.6110       0.9570       0.7891       1.6321       1.5024
      64       2.7468       0.8808       0.6742       1.6389       1.3114
      65       2.8005       0.8767       0.6478       1.6319       1.4038
      66       2.7643       0.8751       0.7549       1.3672       1.2432
      67       2.5957       0.8062       0.8696       1.4898       1.2945
      68       2.4357       0.7004       0.6909       0.8755       1.3310
      69       1.7728       0.8507       0.9328       1.6970       1.4361
      70       2.7615       0.9010       0.7797       1.4562       1.2998
      71       3.2980       0.8747       1.0109       1.4571       1.0306
      72       2.1046       0.8560       1.2068       1.6896       1.5493
      73       2.3930       0.9400       1.3460       1.1840       1.1698
      74       1.5440       0.8984       0.7851       1.5470       1.4833
      75       1.7791       0.8802       1.1045       1.8613       1.8964
      76       2.7255       0.8313       1.0594       1.4720       1.6686
      77       1.5412       0.8870       0.5949       1.5439       1.5160
      78       1.9459       0.7883       0.6792       1.7189       1.6367
      79       1.7745       0.7379       0.5853       1.5998       1.3740
      80       1.7341       0.6131       1.3601       1.1552       1.6035
      81       1.7460       0.6530       0.6207       1.6393       1.6408
      82       2.2046       0.7966       0.7534       1.4543       1.1701
