#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.3249       0.1735       0.6870       0.6173       0.6621
       3       1.4867       0.1770       0.7910       0.7629       0.6551
       4       1.5189       0.1884       0.9062       0.7192       0.8151
       5       1.5111       0.1760       0.8324       0.7551       0.6930
       6       1.5208       0.1723       0.8026       0.7312       0.7647
       7       1.5085       0.2724       1.1805       0.6950       0.5763
       8       1.5407       0.2947       0.9565       0.6808       0.6946
       9       1.5155       0.2809       1.0014       0.6134       0.6549
      10       1.5282       0.2887       1.1747       0.7008       0.7244
      11       1.5468       0.2768       1.0135       0.5915       0.6563
      12       1.5051       0.4579       1.3347       0.6243       0.7095
      13       1.5122       0.4737       1.1954       0.4812       0.7570
      14       1.5573       0.5197       1.4384       0.5788       0.9411
      15       1.4956       0.5809       0.9804       0.4249       0.6095
      16       1.4795       0.5591       1.2279       0.5579       0.6703
      17       3.1094       0.7665       2.3460       1.0083       1.3352
      18       1.7568       0.7197       1.3262       0.6392       1.1083
      19       2.0019       0.7938       1.8356       0.8013       1.7433
      20       1.2791       0.7424       1.3696       0.9193       1.2296
      21       1.6048       0.7011       1.2565       0.7161       1.4158
      22       1.2651       0.7020       0.7467       0.6510       1.4231
      23       1.5468       0.7435       1.5991       0.8018       1.9703
      24       1.6906       1.0243       1.2565       0.7496       1.1361
      25       1.4368       0.9718       0.8134       1.0615       1.2296
      26       1.7923       0.9902       1.2238       0.9022       1.6823
      27       1.8686       0.9032       1.2945       0.7179       1.3496
      28       1.5243       0.9273       0.7922       0.8015       1.2762
      29       1.4236       0.7812       1.2315       0.9582       1.3516
      30       1.5143       0.8195       0.9759       0.8274       1.1180
      31       1.8900       1.0058       1.5851       0.4950       1.4920
      32       2.2087       1.0263       1.3823       0.8373       1.5027
      33       1.8579       1.0587       1.2580       0.5964       1.2652
      34       2.7430       0.9622       1.7984       0.6638       1.5026
      35       3.3552       1.3587       2.4509       0.9439       1.6582
      36       2.9769       1.1211       2.3258       0.5873       1.4962
      37       2.8187       0.9721       1.6266       0.9283       1.4575
      38       2.4839       0.8828       1.8327       0.4756       1.0455
      39       3.0304       0.8961       1.8718       0.7744       1.2234
      40       2.9995       1.0328       2.2488       0.7391       1.4287
      41       2.3825       0.8911       1.5300       0.9881       1.1288
      42       2.7759       0.8690       1.6994       0.6575       1.4919
      43       2.0640       0.6634       0.8818       0.7154       0.8813
      44       2.5578       0.8685       1.0378       0.8771       0.9924
      45       2.9578       0.8775       1.2353       0.7813       1.4969
      46       2.8202       0.7235       0.8645       1.0560       1.1056
      47       3.9035       0.9267       1.8839       0.7232       1.6308
      48       3.4062       0.9446       1.3631       0.8526       1.2647
      49       4.0293       0.7867       0.7067       0.8009       0.9296
      50       4.0889       0.8379       1.3289       0.6422       1.2254
      51       3.9294       0.6477       0.9946       0.6491       1.0016
      52       3.7878       1.0512       2.0677       1.0727       1.7269
      53       3.6629       0.6977       1.9819       0.7335       1.6635
      54       5.6901       0.6689       1.7423       0.7310       1.3222
      55       2.5266       0.6450       0.8489       0.5368       0.7547
      56       4.3195       0.7032       0.8643       1.1632       1.0552
      57       3.9763       0.8147       1.3079       0.7149       0.8729
      58       2.1897       0.8638       0.7394       0.6407       1.2105
      59       3.0924       0.8011       1.4215       1.0068       1.6567
      60       3.1171       0.6985       1.1419       0.5634       0.8304
      61       3.7471       0.7206       1.3846       0.6957       1.1881
      62       3.7751       0.7073       1.7168       0.6236       1.1412
      63       4.1727       0.7743       1.7513       0.9344       1.4917
      64       3.6272       0.6537       1.2916       1.2927       1.6576
      65       3.8038       0.9553       1.7079       0.7203       1.4189
      66       5.3983       0.7518       1.8795       0.6073       1.6149
      67       5.1555       0.9639       1.8101       0.6207       1.0790
      68       6.2615       0.6957       2.0575       0.6927       1.4562
      69       6.5792       0.7116       2.3375       0.8178       1.8696
      70       5.5227       0.6491       2.1014       1.1342       1.5841
      71       5.7612       0.8101       2.0180       1.2435       1.9958
      72       5.3138       0.9032       1.8923       1.1890       1.7295
      73       3.9003       0.9386       1.0767       1.6992       1.8446
      74       5.5394       0.6839       1.6710       1.5141       1.9537
      75       5.4611       0.8170       2.0988       0.9672       2.0167
      76       2.8048       0.8106       1.1108       0.9520       1.6941
      77       2.6016       1.0364       1.4226       0.8409       1.9376
      78       1.8682       0.9298       1.4376       1.1031       2.0996
      79       3.1396       0.9230       1.7575       0.7812       1.8954
      80       2.5735       1.0303       1.7128       0.7465       1.4205
      81       3.1824       1.2674       2.0494       1.0993       1.9107
      82       2.5848       1.0034       1.9639       1.4816       2.1391
      83       3.2570       1.0500       2.0523       1.5354       2.0124
      84       2.8019       0.9905       2.4301       1.1390       2.5127
      85       2.8389       1.0917       1.9237       1.0463       1.9482
      86       2.6134       0.9863       1.7457       1.0579       1.9051
      87       2.3919       0.9132       1.6680       0.6983       1.7409
      88       2.6926       0.8323       1.8416       0.8772       1.5897
      89       2.6721       0.7923       0.6553       0.6805       0.8415
      90       1.7198       0.8480       1.0490       1.1783       1.2288
      91       2.2664       1.0205       1.5992       0.4472       1.2226
      92       2.0019       0.9588       1.6558       0.7697       1.4675
      93       3.1120       0.9710       2.1274       0.6344       1.5056
      94       1.9375       0.9139       1.6619       0.6688       1.4236
      95       2.9563       0.9177       1.6069       0.3941       1.2178
      96       2.6949       0.8407       1.2294       0.6509       1.0109
      97       3.4756       0.7293       1.6638       0.8568       0.8195
      98       2.1214       0.7055       1.2789       0.7128       1.4225
      99       3.6092       0.7651       2.1814       1.5027       1.2653
     100       3.2295       1.0334       1.7377       1.0323       1.5129
     101       3.7059       0.8705       2.3143       0.8117       0.8244
     102       3.9634       0.9682       2.2611       1.2169       1.1378
     103       4.6726       1.0364       3.4757       1.4954       1.5395
     104       3.9566       1.0383       2.2812       1.6853       1.1976
     105       4.8499       1.0594       2.7527       1.4413       1.6087
     106       4.6153       1.0362       3.0330       1.0227       1.6033
     107       5.1293       1.0026       2.8195       1.9476       1.8723
     108       4.7043       0.8320       2.3125       1.3474       1.9570
     109       5.1359       0.9442       2.9448       1.5701       2.1005
     110       3.6571       0.9241       1.8282       1.5932       1.8811
     111       4.5446       0.7992       2.3754       1.5553       1.6687
     112       6.0736       0.8871       2.8765       0.9462       1.8129
     113       5.6565       0.8884       2.4521       1.5429       1.6591
     114       5.5331       0.8710       3.2199       1.2394       1.4629
     115       6.0525       1.0285       3.9365       1.8096       2.7393
     116       6.1427       0.8112       3.4728       1.0050       1.9976
     117       7.1260       0.9331       4.5973       1.4904       2.8861
     118       6.4242       0.9591       4.1282       1.5157       2.8337
     119       6.0550       0.9647       3.7084       2.3935       2.3933
     120       7.0101       0.9236       4.8190       1.4740       2.6711
     121       6.3475       1.0028       4.4726       1.8605       2.3890
     122       7.0409       0.9747       4.0438       1.9829       2.1828
     123       7.7111       1.0498       4.3103       2.0691       2.3667
     124       7.1120       0.9592       4.3594       1.4013       2.1683
     125       6.8085       1.1959       3.9398       1.8588       2.9160
     126       7.1271       1.0200       5.0690       1.8164       2.9817
     127       7.9735       1.0736       5.3394       1.6064       2.7364
     128       9.1728       1.1021       5.5294       1.4382       2.8233
     129       7.5197       0.9752       4.9302       1.6272       2.3427
     130       7.6074       1.1833       5.9561       1.4163       3.2993
     131       7.7476       1.1790       5.4740       0.8221       2.4180
     132       8.4082       1.2606       5.3127       2.1031       2.5051
     133       7.8139       1.3069       4.8215       1.6438       2.2230
     134       7.1224       1.3037       4.6962       1.2533       2.0870
     135       7.2116       1.0271       4.5710       1.2978       2.4788
     136       7.2076       1.3075       3.8501       1.8362       1.8697
     137       7.5102       1.1817       4.3366       1.8266       1.7801
     138       7.1805       1.3931       3.6677       1.4378       1.7377
     139       7.8639       1.2331       4.3129       1.8099       2.1749
     140       8.2348       1.0724       4.7825       1.7590       2.4616
     141       8.4097       1.1834       5.3971       0.9920       2.7742
     142       9.4169       1.2221       4.9371       1.4766       3.1711
     143       8.7267       1.1561       5.6388       1.3296       2.6878
     144       8.2581       1.0271       4.8838       1.7448       3.0415
     145       6.6792       1.0457       4.5818       1.1139       2.4617
     146       7.6871       1.2364       4.8398       1.6680       2.9133
     147       8.1412       1.1804       4.3937       1.1646       2.3755
     148       9.8813       1.1929       5.0632       1.5264       2.8838
     149       8.3091       1.2063       5.0483       1.3872       2.7678
     150       7.8756       1.3847       4.1589       1.5312       2.7470
     151       9.2928       1.0696       4.9665       1.9502       2.8739
     152       9.9721       1.0656       5.5451       1.5425       2.6875
     153       7.8318       1.2287       4.9262       1.3035       2.7658
     154       8.1825       1.2625       4.8982       1.4406       2.5362
     155       9.2171       1.2610       5.6519       1.7810       3.4784
     156       8.6133       1.2156       5.7457       1.2426       2.9206
     157      10.6989       1.3641       6.7496       1.9531       3.1437
     158      10.0506       1.2045       5.9734       1.4221       2.7402
     159       9.7139       1.2330       5.5322       1.7273       3.3700
     160       9.5324       1.1995       5.3809       1.5910       3.1637
     161       9.1587       1.3356       5.6273       1.5142       2.8118
     162       8.8575       1.2625       5.1943       1.2513       3.0831
     163       8.5225       1.2620       5.8241       1.2347       3.0786
     164       9.2774       1.3389       5.8641       1.8143       3.2472
     165       8.7569       1.2153       5.8773       1.3890       2.8121
     166       9.5853       1.1818       6.0467       1.6495       3.0452
     167       8.9581       1.1676       5.7949       1.4630       2.8211
     168       8.9496       1.2560       5.4883       1.8963       2.8088
     169       9.1007       1.2306       5.6662       1.7748       3.0374
     170       8.7148       1.2620       5.0679       1.8771       3.2182
     171      10.1663       1.2140       5.6326       2.1494       3.2627
     172       9.5727       1.2336       5.3854       1.9230       3.9419
     173       9.3634       1.2805       5.3152       2.1572       3.7231
     174      10.4969       1.3728       5.8680       1.9655       3.8668
     175      10.4134       1.2176       5.7894       2.0923       4.0353
     176       9.2236       1.1926       5.1144       1.7506       3.1677
     177       8.7381       1.1964       5.3164       1.3890       2.8838
