#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.1515       0.1742       0.7316       0.5319       0.6026
       3       1.3218       0.1748       0.6880       0.6043       0.7585
       4       1.4235       0.1895       0.8168       0.6541       0.8007
       5       1.4228       0.1768       0.7714       0.6432       0.8246
       6       1.4387       0.1875       0.7891       0.6726       0.7837
       7       1.4104       0.3110       0.7546       0.4725       0.7258
       8       1.4300       0.2739       0.7881       0.6632       0.8496
       9       1.4184       0.2810       1.0058       0.5068       0.8288
      10       1.4448       0.2920       0.9889       0.5744       0.8352
      11       1.4511       0.2590       0.7689       0.5387       0.7490
      12       1.4777       0.5260       1.3384       0.6992       0.9798
      13       1.6852       0.5739       0.9725       0.8160       1.1442
      14       1.6067       0.6189       0.8072       0.4472       0.7376
      15       1.4264       0.5940       1.1264       0.6302       0.8074
      16       1.5157       0.6310       1.0798       0.3338       1.0948
      17       2.0471       0.7276       0.7538       0.5983       0.8557
      18       2.1689       0.7901       1.1678       1.1317       1.2842
      19       1.7740       0.7031       1.0793       1.1893       1.6071
      20       1.4506       0.5873       1.2418       1.1406       1.4102
      21       1.6314       0.6312       0.5022       0.9997       1.1229
      22       1.4113       0.7569       1.1226       1.2167       1.3912
      23       1.5849       0.6396       1.1399       1.5006       1.2288
      24       1.8163       0.7013       1.1997       1.2222       1.3946
      25       1.7140       0.7433       0.7776       1.3370       1.1699
      26       1.7820       0.7791       1.5932       0.7985       1.0278
      27       1.3349       0.7195       1.3215       1.1055       1.4415
      28       1.5500       0.8084       0.8012       0.9384       1.2127
      29       1.9370       0.7774       1.2639       1.2258       1.7088
      30       1.6890       0.7487       1.0079       0.9039       1.2464
      31       1.4500       0.6721       1.9347       1.6724       1.6512
      32       2.1427       0.6973       1.6942       1.3005       1.9290
      33       1.6947       0.6971       1.3314       1.1317       1.4424
      34       2.4629       0.6361       1.6645       0.8619       1.8362
      35       1.7594       0.7340       1.2181       0.8794       1.3807
      36       2.2673       0.6855       1.3119       1.1249       1.6962
      37       2.6169       0.6923       2.2261       1.3076       2.4164
      38       2.1734       0.7542       1.7335       1.3764       2.1520
      39       1.8239       0.7715       1.6320       1.3658       1.8891
      40       2.2974       0.7258       1.7128       1.2966       2.2617
      41       2.7760       0.6706       2.1540       1.2117       2.3267
      42       2.1053       0.7357       1.7154       1.4096       1.8565
      43       1.8518       0.7255       1.8168       0.8839       1.3219
      44       2.6518       0.8092       2.3300       1.0288       2.1778
      45       2.7259       0.8106       2.0128       0.5555       1.6088
      46       2.4592       0.6626       2.0069       0.7255       1.6789
      47       2.6629       0.6305       2.0919       1.0736       2.2049
      48       3.0672       0.6611       2.2864       0.8990       1.9562
      49       1.9528       0.6917       1.5997       1.7785       1.9497
      50       2.8153       0.6744       1.5429       0.8877       1.5559
      51       2.1108       0.6617       2.0783       1.2607       2.0631
      52       2.9521       0.7273       2.0835       0.9993       1.7520
      53       2.2514       0.6672       1.5778       1.0791       1.7400
      54       2.0637       0.7245       2.1147       1.2838       2.2652
      55       1.9983       0.7511       1.4315       1.3449       1.5982
      56       2.4026       0.7301       1.5130       0.9408       1.6522
      57       2.2793       0.7967       1.4966       1.4610       1.4859
      58       1.5447       0.7575       1.7491       1.4173       1.5979
      59       1.6439       0.9481       1.6822       1.6539       1.4106
      60       1.7376       0.7711       1.1894       1.1175       1.4057
      61       1.3398       0.7535       1.3080       1.1291       1.8858
      62       1.5992       0.8720       1.0708       1.3596       1.6758
      63       1.7652       0.9318       1.5980       0.8792       2.0726
      64       2.2899       0.8752       2.0057       1.2296       2.1901
      65       1.6492       0.8960       1.6927       1.0682       1.8973
      66       1.9479       1.0079       1.5589       1.1563       1.8503
      67       2.0588       0.9103       1.7917       1.3966       1.9626
      68       1.7671       0.9471       1.5971       1.3470       1.6178
      69       2.3234       0.8732       1.8847       1.4052       1.4241
      70       2.1608       0.8129       1.1877       1.0168       1.6516
      71       1.8385       0.7198       1.8218       1.3497       2.1901
      72       1.4417       0.9292       1.2985       0.7556       1.7331
      73       1.4516       0.8233       1.1646       0.8196       1.3432
      74       2.2331       0.9202       1.8027       0.8035       1.9935
      75       1.7732       0.9287       1.7526       2.0741       2.5953
      76       1.8171       0.8374       1.6651       1.0660       1.8585
      77       2.1600       0.8454       1.9838       1.0024       2.2113
      78       2.7544       0.8892       1.9251       1.5228       2.4714
      79       3.7765       0.8713       2.4208       1.0570       2.3843
      80       2.7493       0.8036       1.8321       1.5852       2.8668
      81       1.8984       0.7897       1.0009       1.0598       1.4484
      82       1.6080       0.7751       1.4048       0.8647       1.3165
      83       1.6970       0.8539       1.6322       1.0776       2.3444
      84       2.9290       0.6729       1.9266       1.3683       2.2063
      85       2.7689       0.7126       2.1253       0.8926       2.1893
      86       1.8897       0.7259       1.2958       1.0914       1.3518
      87       2.9064       0.8067       2.4403       1.0183       1.9504
      88       2.5578       0.8171       1.6121       1.3219       2.1964
      89       2.1880       0.9397       2.3709       2.1018       2.5053
      90       1.6863       1.1292       1.0071       1.2598       2.0399
      91       3.4445       0.8041       2.5086       1.7461       2.4103
      92       3.6666       0.7904       2.1140       1.2336       1.9847
      93       2.2420       0.7561       1.3236       1.3136       2.2301
      94       3.5855       0.7936       2.2152       1.3040       1.7761
      95       2.3366       0.8396       1.6802       1.2506       1.8487
      96       4.2336       0.9633       2.7835       1.3824       2.3066
      97       3.9013       0.9248       2.5384       0.9502       2.3470
      98       3.6118       1.0194       2.0557       1.5070       2.6128
      99       2.7311       0.9915       1.5144       1.6424       2.3073
     100       4.5312       0.8521       3.2617       2.1952       3.3207
     101       4.6915       1.2008       2.7777       2.1440       3.2246
