#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.5361       0.1775       0.9274       0.8597       0.7973
       3       1.6028       0.1835       1.0177       0.8226       0.7921
       4       1.6540       0.1821       1.0515       0.7243       0.8041
       5       1.6578       0.1686       1.0475       0.7778       0.9668
       6       1.6780       0.1866       1.0250       0.8432       0.8528
       7       1.6971       0.2389       1.4486       0.8472       0.9913
       8       1.6753       0.2862       1.4742       0.7508       1.1444
       9       1.7213       0.2559       1.3303       0.9117       1.0141
      10       1.6908       0.2570       1.2503       0.6777       1.1497
      11       1.6610       0.2666       1.3007       0.7386       0.9066
      12       1.8053       0.4743       2.3227       0.7390       1.4847
      13       1.9084       0.4868       2.1683       0.6660       1.0259
      14       1.9716       0.4777       2.1424       0.8674       1.4817
      15       2.3946       0.5072       2.2918       0.9568       1.1417
      16       2.2900       0.5140       3.0150       0.8606       1.7143
      17       1.9841       0.6226       2.0695       0.4421       1.4609
      18       2.2633       0.6292       1.8239       0.5740       1.3064
      19       2.9843       0.7210       1.9265       0.6345       1.5533
      20       3.7475       0.7245       1.4924       0.7924       1.6256
      21       3.6870       0.6851       1.8387       0.8330       1.8363
      22       2.7803       0.6681       1.3198       0.6968       1.3534
      23       1.9106       0.5877       0.8846       0.9004       1.7033
      24       2.8759       0.6796       0.8720       0.9666       1.6582
      25       5.1064       0.6978       1.8165       0.7525       1.7392
      26       3.3372       0.7246       1.1849       0.8618       1.2931
      27       2.6940       0.8877       0.9037       0.5739       1.4666
      28       1.7665       0.7628       0.8578       0.8808       1.2045
      29       2.9399       0.8929       0.7772       0.6817       0.9167
      30       3.5739       0.6902       1.2102       1.3868       1.4052
      31       3.5784       0.6240       1.5074       1.0384       1.4089
      32       2.9138       0.6665       1.1496       1.0415       1.1915
      33       2.6409       0.6128       0.7160       0.5518       1.5047
      34       4.7031       0.6380       2.2367       0.5614       1.1678
      35       6.1444       0.6590       2.1000       0.6712       1.4513
      36       5.5131       0.6612       2.3876       0.5654       2.0107
      37       4.8139       0.8075       2.3688       0.7985       1.8491
      38       5.8454       0.8144       2.0627       0.8075       2.1639
      39       6.3677       0.8780       2.7018       1.0900       1.3074
      40       5.4212       0.8982       2.4011       0.8475       1.1424
      41       5.0848       0.9319       2.0879       0.9075       1.6228
      42       7.0226       0.9318       3.0694       1.0111       1.6426
      43       7.3926       0.8412       3.1095       1.3228       1.4824
      44       5.7766       0.7879       2.3556       0.7118       1.4863
      45       3.8987       0.8513       1.2932       0.8347       0.8839
      46       5.1910       0.8171       2.3729       0.6731       0.9140
      47       3.8427       0.7794       1.5844       0.8673       1.0261
      48       5.1070       0.8016       2.1997       0.7338       0.9603
      49       5.8060       0.7984       2.2075       0.8073       1.3335
      50       6.4165       0.8381       2.9679       1.0532       1.1323
