#Frame           CRBN         BRD4      CRBNlig      BRD4lig       linker
       1       0.0000       0.0000       0.0000       0.0000       0.0000
       2       1.2861       0.1748       0.7631       0.6512       0.6768
       3       1.4733       0.1818       0.8267       0.6929       0.6863
       4       1.5394       0.1753       0.8369       0.7191       0.7325
       5       1.5267       0.1794       0.9467       0.6721       0.7289
       6       1.5471       0.1720       0.8468       0.7303       0.8096
       7       1.5427       0.2620       0.9683       0.6493       0.8340
       8       1.5688       0.2637       1.1984       0.6878       0.6951
       9       1.5658       0.2919       1.1655       0.7298       0.8257
      10       1.5582       0.2845       1.0237       0.7052       0.6746
      11       1.5577       0.2738       1.1467       0.7630       0.6894
      12       1.6656       0.5882       1.4423       0.7473       0.9456
      13       1.6296       0.5242       1.3299       0.6610       0.7671
      14       1.7289       0.5531       1.2082       0.5641       0.7801
      15       1.5946       0.6046       1.2690       0.7102       0.9558
      16       1.6759       0.5256       1.3857       0.6006       0.9314
      17       2.4514       0.5698       1.3928       1.2330       1.4387
      18       2.1766       0.5599       1.5113       1.2390       1.3050
      19       2.4829       0.7052       1.0085       1.1340       1.2706
      20       2.0188       0.6998       1.1182       1.1630       0.9619
      21       1.6603       0.6286       1.4294       1.0348       1.1908
      22       1.9928       0.7352       1.5859       1.1375       1.0941
      23       2.2673       0.8028       1.3853       1.2462       1.2968
      24       3.2757       0.8476       1.7263       1.0695       0.7312
      25       3.0752       0.7738       1.7745       0.8404       1.2290
      26       2.4479       0.7107       1.2281       1.1759       1.1971
      27       3.3989       0.7314       1.1208       1.0886       1.4217
      28       2.2341       0.6982       0.8298       0.8247       0.6277
      29       2.4604       0.6414       1.2924       0.6149       1.3736
      30       2.9468       0.6790       0.9128       1.2586       0.8494
      31       3.3150       0.8063       1.1716       1.1736       1.0000
      32       2.8535       0.7674       1.1035       1.1393       1.3391
      33       2.6055       0.6707       0.9291       1.1748       0.6787
      34       2.8303       0.8267       0.9321       1.1771       0.9446
      35       2.7344       0.7320       0.6907       1.4335       1.1143
      36       3.0559       0.7393       0.9410       1.2891       0.8886
      37       2.0643       0.8337       1.0652       1.2254       1.2160
      38       2.3556       0.9270       0.8609       1.1565       1.2046
      39       2.2920       0.8106       1.1084       1.1640       1.0107
      40       2.3881       0.7708       0.6758       0.9493       1.4111
      41       2.4241       0.7025       0.7757       0.6282       1.2300
      42       2.0074       0.7527       1.1594       0.9473       0.8199
      43       3.3905       0.7426       1.5253       0.8743       1.4272
      44       4.2133       0.8778       1.7804       1.2226       0.9556
      45       2.7105       0.8221       1.2152       1.3746       1.0290
      46       2.1209       0.7280       1.0523       1.0636       1.3693
      47       2.1658       0.7682       1.3456       1.3549       1.1017
      48       2.2017       0.8033       1.3861       1.3777       1.3119
      49       2.2576       0.7326       1.0055       0.7299       1.2932
      50       2.1347       0.7881       0.6600       0.5762       0.5267
      51       3.4476       0.7834       1.8771       0.9723       1.2389
      52       2.1669       0.7672       0.8549       1.1531       1.0779
      53       1.6750       0.8709       0.6484       0.9418       1.2587
      54       2.4548       0.8937       1.1452       0.8053       1.6196
      55       2.4075       0.8750       1.0332       0.8551       1.6795
      56       2.6640       0.9060       1.5389       0.6936       1.4352
      57       1.9412       0.9148       0.6124       1.4941       1.4378
      58       2.2276       0.8478       1.2947       0.8829       1.4251
      59       2.1700       0.8071       1.2029       1.2390       1.8158
      60       3.0449       0.8263       1.5980       0.8457       1.6195
      61       2.7886       0.8037       1.0635       0.6249       1.2013
      62       3.0725       0.7537       1.2257       0.9434       1.8514
      63       2.6243       0.7346       1.1040       0.9862       1.5283
      64       2.9266       0.7938       1.1476       1.1215       1.9147
      65       2.7775       0.7903       1.6537       1.1297       1.9621
      66       2.6750       0.8423       1.2339       1.4840       2.0162
      67       2.8618       0.8653       1.2279       1.3018       1.6810
      68       3.4564       0.8462       0.7850       1.4101       1.9272
      69       3.8182       0.8885       1.5254       1.3517       1.8650
      70       3.4531       0.9209       0.6454       1.3546       2.1887
      71       3.9781       0.7878       1.3422       0.9519       1.8748
      72       4.9171       0.8955       1.8393       0.9155       1.8306
      73       3.8936       0.8902       1.5591       1.3799       1.5058
      74       5.2754       0.8346       2.0094       1.1578       1.6323
      75       5.3692       0.9336       2.5590       1.8397       1.9453
      76       6.4697       0.8562       3.0405       1.3412       1.8016
      77       6.4068       0.8708       2.5498       1.7366       1.9466
      78       5.2585       0.8480       1.6679       1.1684       1.8906
      79       6.4244       0.8755       2.7227       1.4069       1.5736
      80       6.9790       0.8636       2.5259       1.1704       2.0178
      81       5.3211       0.8904       1.9328       1.2137       1.7009
      82       5.7463       1.0620       1.8273       1.0549       1.7663
      83       4.9728       1.0022       1.8157       1.1975       1.7054
      84       5.8874       0.9408       1.8033       1.3735       2.0265
      85       4.2441       0.8325       1.5348       1.3371       2.2539
      86       5.6362       0.8378       2.2927       1.2009       1.9053
      87       6.7310       0.8775       2.4342       1.2408       1.4775
      88       5.8317       0.8977       1.9559       2.0480       2.2387
      89       6.6681       0.9494       2.4765       1.3116       1.9936
      90       7.1479       0.7928       2.2509       1.7385       2.3704
      91       7.2723       0.8805       2.4349       1.5652       2.2435
      92       7.1703       0.8489       2.5625       1.6667       2.2063
      93       6.7472       0.9549       2.4537       1.3247       2.5145
      94       4.9162       0.8421       1.5946       1.1302       2.1914
      95       4.8219       0.8313       2.0657       1.4774       2.1273
      96       4.5959       0.8283       1.8278       0.9134       1.8593
      97       6.3868       0.8666       3.2400       0.8664       1.7260
      98       5.3182       0.9116       2.3093       1.1328       1.4923
      99       5.2061       1.0347       2.3693       1.2527       2.0001
     100       7.2916       0.9267       3.3729       1.4897       2.2077
     101       5.5907       0.8617       2.5800       1.1877       1.4961
     102       5.2568       0.9379       2.9294       1.0267       1.8568
     103       5.8097       1.0027       3.1351       1.5286       1.9298
     104       4.5434       0.7898       1.7776       1.2971       2.2857
     105       3.4399       0.8922       1.2505       1.4642       2.1598
     106       2.5739       0.8360       1.8532       1.2364       2.0332
     107       4.4153       0.8854       2.9176       1.5849       1.9566
     108       4.3266       0.8117       2.0296       1.0436       1.9158
     109       3.8727       0.9687       1.4751       1.4794       2.0689
     110       3.8328       0.7691       1.6478       1.4803       1.9931
     111       4.0545       0.9001       2.3251       1.2306       1.7359
     112       4.7018       0.8493       2.7970       1.3239       2.0351
     113       5.0066       0.8799       1.9384       1.3847       1.9479
     114       5.1561       0.8405       2.6803       1.1397       2.0980
     115       5.7871       0.8517       2.9468       1.4437       2.2654
     116       5.0489       0.9306       2.5160       1.1368       2.0418
     117       5.9781       0.8980       2.4446       1.2570       2.1429
     118       7.3978       1.0166       3.0688       1.8764       2.7520
     119       7.0555       1.0893       2.8953       1.7170       2.5920
     120       5.3637       0.9769       3.1469       1.1608       1.8368
     121       4.7538       1.0231       2.6681       1.4767       2.2494
     122       4.2997       1.0318       3.4518       1.3832       2.1847
     123       4.9322       0.9493       3.6070       1.4999       2.4272
     124       5.5013       0.7902       3.4578       1.3277       2.0338
     125       5.1540       0.9785       3.2868       1.5404       2.2995
     126       4.9807       0.9903       3.3711       1.9310       3.0597
     127       4.9137       0.9117       3.5878       1.8136       2.5256
     128       3.6336       0.9271       2.7390       1.8060       2.1926
     129       5.3015       0.9583       3.6130       1.6636       2.3792
     130       4.7305       0.9075       3.2986       1.5710       2.0546
     131       4.8413       0.7773       3.7423       1.5595       2.4399
     132       6.0557       0.8315       3.9944       1.6409       2.4882
     133       5.3253       0.8282       3.5470       1.9172       2.9483
     134       5.0151       0.9364       3.6119       1.5196       2.6206
     135       4.7120       0.8731       3.6792       1.5739       2.5509
     136       5.3646       0.9953       4.0870       1.1698       2.2345
     137       5.3052       0.9404       4.1306       1.3996       2.3601
     138       5.0512       0.8223       3.6125       1.3575       2.2896
     139       6.4920       0.8872       4.3378       1.7116       2.2704
     140       7.2860       0.8514       3.7364       1.4259       1.7972
     141       7.0008       0.9156       4.2139       1.5418       2.4263
     142       7.6903       0.9131       3.6414       1.4001       2.0834
     143       7.3985       0.9452       3.5165       1.4977       2.2387
     144       6.2762       1.0192       3.1223       1.7994       2.5995
     145       6.8921       0.9750       2.7405       1.6951       2.0453
     146       6.6032       1.0556       3.2848       1.9765       2.3801
     147       5.1798       1.0204       3.4915       1.2606       1.7150
     148       5.8168       0.9666       4.3142       1.2531       1.9589
     149       4.9148       0.9687       3.9153       1.3420       2.4999
     150       6.0432       1.0241       4.2733       1.7643       2.5008
     151       5.9489       0.9510       4.0618       1.4379       2.3361
